FSAU: Maintain Table Relationships


MANDT	 ZMODULE	 SUBMOD	 LTAB	 LFIELD	 RTAB	 RFIELD
100	 MM	 GOODS_MVMNT	 MKPF	 MBLNR	 MSEG	 MBLNR
100	 MM	 GOODS_MVMNT	 MKPF	 MJAHR	 MSEG	 MJAHR
100	 MM	 GOODS_MVMNT	 MKPF	 VGART	 T158W	 VGART
100	 MM	 INBND_DEL	 LIKP	 VBELN	 LIPS	 VBELN
100	 MM	 INVOICE VERIFICATION	 RBKP	 BELNR	 RBKP	 BELNR
100	 MM	 MATERIAL_MASTER	 MARA	 MATNR	 MARC	 MATNR
100	 MM	 MATERIAL_MASTER	 MARA	 MATNR	 MBEW	 MATNR
100	 MM	 PHY_INV_COUNT	 IKPF	 IBLNR	 IKPF	 IBLNR
100	 MM	 PHY_INV_COUNT	 IKPF	 IBLNR	 ISEG	 IBLNR
100	 MM	 PURCHASE	 EKKO	 EBELN	 EKPO	 EBELN
100	 MM	 PURCHASE	 EKPO	 PSTYP	 T163Y	 PSTYP
100	 MM	 PURCHASE_REQISITION	 EBAN	 BANFN	 EBAN	 BANFN
100	 MM	 VENDOR_MASTER	 LFA1	 LIFNR	 LFM1	 LIFNR
100	 MM	 WAREHOUSE_MGMT	 LTAK	 TBNUM	 LQUA	 TBNUM
100	 MM	 WAREHOUSE_MGMT	 LTAK	 TBNUM	 LTBK	 TBNUM
100	 MM	 WM_MVT_TYPES	 LQUA	 TBNUM	 LTBK	 TBNUM
100	 PM	 EQUIPMENT	 EQUI	 EQUNR	 EQUI	 EQUNR
100	 PM	 PM_NOTIFICATIONS	 VIQMEL	 QMNUM	 VIQMEL	 QMNUM
100	 PM	 PM_ORDERS	 CAUFV	 AUFNR	 CAUFV	 AUFNR
100	 PP	 BOM	 STKO	 STLNR	 STZU	 STLNR
100	 PP	 BOM	 STZU	 STLNR	 MAST	 STLNR
100	 PP	 CONTROL_KEYS	 PLPO	 PLNNR	 PLPO	 PLNNR
100	 PP	 ORDER_TYPES	 CAUFV	 AUFNR	 CAUFV	 AUFNR
100	 PP	 PP_PLNG_STRG	 MARA	 MATNR	 MARC	 MATNR
100	 PP	 REPETITIVE	 BLPK	 PRTNR	 BLPK	 PRTNR
100	 PP	 ROUTING	 MAPL	 PLNNR	 MAPL	 PLNNR
100	 PP	 ROUTING	 MAPL	 PLNNR	 PLKO	 PLNNR
100	 PP	 ROUTING	 PLKO	 PLNNR	 PLPO	 PLNNR
100	 PP	 S&OP	 T445P	 SCTYP	 T445P	 SCTYP
100	 PP	 WORKCENTER	 CRHD	 ARBPL	 CRHD	 ARBPL
100	 PS	 MASTERDATA	 PROJ	 PSPNR	 PRPS	 PSPHI
100	 PS	 SCHEDULING	 PRTE	 POSNR	 PRTE	 POSNR
100	 QM	 INSPECTION_PLAN	 PLKO	 PLNNR	 PLKO	 PLNNR
100	 QM	 INSPECTION_TYPE	 QALS	 PRUEFLOS	 QALS	 PRUEFLOS
100	 QM	 MASTER_INSP_CHAR	 PLMK	 PLNNR	 PLMK	 PLNNR
100	 QM	 NOTIFICATIONS	 VIQMEL	 QMNUM	 VIQMEL	 QMNUM
100	 QM	 QM_MATERIALS	 MARA	 MATNR	 MARC	 MATNR
100	 SD	 BILLING	 VBRK	 VBELN	 VBRP	 VBELN
100	 SD	 CREDIT_MGMNT	 KNKK	 KUNNR	 KNKK	 KUNNR
100	 SD	 CUSTOMER_MASTER	 KNVV	 KUNNR	 KNA1	 KUNNR
100	 SD	 DELIVERY	 LIKP	 VBELN	 LIKP	 VBELN
100	 SD	 DOC	 VBAK	 VBELN	 VBAK	 VBELN
100	 SD	 DOCUMENT FLOW	 VBFA	 VBELV	 VBFA	 VBELV
100	 SD	 ORDERS	 VBAK	 VBELN	 VBAK	 VBELN
100	 SD	 ORDERS	 VBAK	 VBELN	 VBAP	 VBELN
100	 SD	 PACKING	 VEKP	 VENUM	 VEKP	 VENUM
100	 SD	 SALES ORDER	 VBAK	 VBELN	 VBAP	 VBELN
100	 SD	 SCHEDULE LINE	 VBEP	 VBELN	 VBEP	 VBELN
100	 SD	 THIRD PARTY	 VBAP	 MATNR	 MVKE	 MATNR
