FSAU: Maintain Table information


MANDT	 ZMODULE	 SUBMOD	 TABNAME	 SEQUENCE
100	 PS	 SCHEDULING	 PRTE	 001
100	 QM	 INSPECTION_PLAN	 PLKO	 001
100	 QM	 INSPECTION_TYPE	 QALS	 001
100	 QM	 MASTER_INSP_CHAR	 PLMK	 001
100	 QM	 NOTIFICATIONS	 VIQMEL	 001
100	 QM	 QM_MATERIALS	 MARA	 001
100	 QM	 QM_MATERIALS	 MARC	 002
100	 SD	 BILLING	 VBRK	 001
100	 SD	 BILLING	 VBRP	 002
100	 SD	 CREDIT_MGMNT	 KNKK	 001
100	 SD	 CUSTOMER_MASTER	 KNA1	 002
100	 SD	 CUSTOMER_MASTER	 KNVV	 001
100	 SD	 DELIVERY	 LIKP	 001
100	 SD	 DOC	 VBAK	 001
100	 SD	 DOCUMENT FLOW	 VBFA	 001
100	 SD	 ORDERS	 VBAK	 001
100	 SD	 ORDERS	 VBAP	 002
100	 SD	 PACKING	 VEKP	 001
100	 SD	 SALES ORDER	 VBAK	 001
100	 SD	 SALES ORDER	 VBAP	 002
100	 SD	 SCHEDULE LINE	 VBEP	 001
100	 SD	 THIRD PARTY	 MVKE	 002
100	 SD	 THIRD PARTY	 VBAP	 001
