AM: Profit center det. for Non Ccare and Int. Service Repair


MANDT	 REFID	 PLCID	 GACID	 PRCTR
100	 	 5	 M46G	 16IIQMIIQM
100	 	 5	 M46H	 16IIQMIIQM
100	 	 5	 M46I	 16IIQMIIQM
100	 	 5	 M46K	 16IIQMIIQM
100	 	 5	 M46O	 16IIQMIIQM
100	 	 5	 M46V	 16IIQMIIQM
100	 	 5	 M47A	 16IIZMIIZM
100	 	 5	 M47B	 16IIZMIIZM
100	 	 5	 M48A	 16IIZMIIZM
100	 	 5	 M48B	 16IIZMIIZM
100	 	 5	 M48D	 16IIZMIIZM
100	 	 5	 M48E	 16IIZMIIZM
100	 	 5	 M51A	 16IIIMIIIM
100	 	 5	 M51D	 16IIIMIIIM
100	 	 5	 M51F	 16IIIMIIIM
100	 	 5	 M51H	 16IIIMIIIM
100	 	 6	 APAC	 16APACAPAC
100	 	 9	 	 16AZAAAZAA
100	 	 W	 45HA	 16IIMAIIMA
100	 	 W	 45HP	 16IIMAIIMA
100	 	 W	 45VA	 16IIMAIIMA
100	 	 W	 45VP	 16IIMAIIMA
100	 	 W	 46HA	 16IIMAIIMA
100	 	 W	 46HP	 16IIMAIIMA
100	 	 W	 46IA	 16IIMAIIMA
100	 	 W	 46IP	 16IIMAIIMA
100	 	 W	 46PA	 16IIMAIIMA
100	 	 W	 46PP	 16IIMAIIMA
100	 	 W	 46XA	 16IIMAIIMA
100	 	 W	 46XP	 16IIMAIIMA
100	 	 X	 P45L	 16IIGMIIGM
100	 	 X	 P45N	 16IIGMIIGM
100	 	 X	 P45P	 16IIOMIIOM
100	 	 X	 P45Q	 16IIOMIIOM
100	 	 X	 P45S	 16IIOMIIOM
100	 	 X	 P45U	 16IIOMIIOM
100	 	 X	 P45Y	 16IIGMIIGM
100	 	 X	 P45Z	 16IIGMIIGM
100	 	 X	 P46A	 16IIQMIIQM
100	 	 X	 P46B	 16IIQMIIQM
100	 	 X	 P46D	 16IIQMIIQM
100	 	 X	 P46E	 16IIQMIIQM
100	 	 X	 P46G	 16IIQMIIQM
100	 	 X	 P46H	 16IIQMIIQM
100	 	 X	 P46K	 16IIQMIIQM
100	 	 X	 P46O	 16IIQMIIQM
100	 	 X	 P46V	 16IIQMIIQM
100	 	 X	 P51A	 16IIIMIIIM
100	 	 X	 P51D	 16IIIMIIIM
100	 2	 2	 I46A	 16IIQAIIQA
100	 2	 2	 I46E	 16IIQAIIQA
100	 2	 2	 I46K	 16IIQAIIQA
100	 2	 2	 I46O	 16IIQAIIQA
100	 2	 2	 I46V	 16IIQAIIQA
100	 2	 2	 I47A	 16IIZAIIZA
100	 2	 2	 I47C	 16IIZAIIZA
100	 2	 2	 I47R	 16FSTAFSTA
100	 2	 2	 I48A	 16IIZAIIZA
100	 2	 2	 I48B	 16IIZAIIZA
100	 2	 2	 I48C	 16IIZAIIZA
100	 2	 2	 I48D	 16IIZAIIZA
100	 G	 1	 0051	 16SMIASMIA
100	 G	 1	 0052	 16SMZASMZA
100	 G	 1	 0057	 16SMZASMZA
100	 G	 1	 0058	 16SMQASMQA
100	 G	 1	 0480	 16SMZASMZA
100	 G	 1	 0481	 16SMZASMZA
100	 G	 1	 0483	 16SMLASMLA
100	 G	 1	 0485	 16SMZASMZA
100	 G	 1	 048A	 16SMZASMZA
100	 G	 1	 048C	 16SMZASMZA
100	 G	 1	 048D	 16SMZASMZA
100	 G	 1	 048E	 16SMZASMZA
100	 G	 1	 048G	 16SMLASMLA
100	 G	 1	 048J	 16SMLASMLA
100	 G	 1	 048K	 16SMLASMLA
100	 G	 1	 048L	 16SMZASMZA
100	 G	 1	 048V	 16SMZASMZA
100	 G	 1	 048W	 16SMZASMZA
100	 G	 1	 048X	 16SMZASMZA
100	 G	 1	 050F	 16SMZASMZA
100	 G	 1	 051L	 16SMIASMIA
100	 G	 1	 051M	 16SMIMSMIM
100	 G	 1	 051T	 16SMIMSMIM
100	 G	 1	 051V	 16SMIASMIA
100	 G	 1	 051W	 16SMIASMIA
100	 G	 1	 051X	 16SMIASMIA
100	 G	 1	 0521	 16SMZASMZA
100	 G	 1	 052B	 16SMZASMZA
100	 G	 1	 052C	 16AZAAAZAA
100	 G	 1	 052G	 16SMIASMIA
100	 G	 1	 052I	 16SMZMSMZM
100	 G	 1	 052O	 118SCGSCGA
100	 G	 1	 052Q	 16SMQASMQA
100	 G	 1	 052T	 16SMZASMZA
100	 G	 1	 052U	 118SCISCIA
100	 G	 1	 052V	 16SMIMSMIM
100	 G	 1	 0541	 16SMZASMZA
100	 G	 1	 0542	 16SMZASMZA
100	 G	 1	 0543	 118SCISCIA
100	 G	 1	 0544	 118SCGSCGA
100	 G	 1	 0546	 118SCGSCGA
100	 G	 1	 0555	 16SMZASMZA
100	 G	 1	 0571	 16SMZASMZA
100	 G	 1	 0573	 16SMZASMZA
100	 G	 1	 0575	 16SMZASMZA
100	 G	 1	 0577	 16AZAAAZAA
100	 G	 1	 057Y	 16AZAAAZAA
100	 G	 1	 0583	 16SMQASMQA
100	 G	 1	 058F	 16SMQASMQA
100	 G	 1	 058I	 16SMQASMQA
100	 G	 1	 058K	 16SMQMSMQM
100	 G	 1	 058M	 16SMQASMQA
100	 G	 1	 058R	 16SMQMSMQM
100	 G	 1	 058V	 16SMQASMQA
100	 G	 1	 058Z	 16SMQMSMQM
100	 G	 1	 0595	 16SMZASMZA
100	 G	 1	 0599	 16SLIASLIA
100	 G	 1	 05ER	 16ESYAESYA
100	 G	 1	 8AOA	 16AAAAAAAA
100	 G	 1	 8COA	 16ACAAACAA
100	 G	 1	 8EOA	 16SXZASXZA
100	 G	 1	 8FHM	 16FSZMFSZM
100	 G	 1	 8FIM	 16FSIMFSIM
100	 G	 1	 8FLA	 16FSLAFSLA
100	 G	 1	 8FZA	 16FSZAFSZA
100	 G	 1	 8FZC	 16AOACAOAC
100	 G	 1	 8NOA	 16AUAAAUAA
100	 G	 1	 8NOQ	 16AOACAOAC
100	 G	 1	 8OOA	 16AZAAAZAA
100	 G	 1	 8PHM	 16SMZMSMZM
100	 G	 1	 8PIM	 16SMIMSMIM
100	 G	 1	 8PLA	 16SMLASMLA
100	 G	 1	 8PZA	 16SMZASMZA
100	 G	 1	 8PZC	 16APACAPAC
100	 G	 1	 8SIM	 16IIIMIIIM
100	 G	 1	 8SQA	 16IIQAIIQA
100	 G	 1	 8SZA	 16IIZAIIZA
100	 G	 1	 8YOA	 16EUAAEUAA
100	 G	 1	 O480	 16SMZASMZA
100	 G	 1	 O481	 16SMZASMZA
100	 G	 1	 O483	 16SMLASMLA
100	 G	 1	 O485	 16SMZASMZA
100	 G	 1	 O486	 16SMLASMLA
100	 G	 1	 O488	 16SMLASMLA
100	 G	 1	 O48A	 16SMZASMZA
100	 G	 1	 O48B	 16SMZASMZA
100	 G	 1	 O48C	 16SMZASMZA
100	 G	 1	 O48D	 16SMZASMZA
100	 G	 1	 O48E	 16SMZASMZA
100	 G	 1	 O48G	 16SMLASMLA
100	 G	 1	 O48J	 16SMLASMLA
100	 G	 1	 O48K	 16SMLASMLA
100	 G	 1	 O48U	 16SMZASMZA
100	 G	 1	 O48V	 16SMZASMZA
100	 G	 1	 O48W	 16SMZASMZA
100	 G	 1	 O48X	 16SMZASMZA
100	 G	 1	 O48Y	 16SMZASMZA
100	 G	 1	 O48Z	 16SMZASMZA
100	 G	 1	 O51A	 16SMIASMIA
100	 G	 1	 O51B	 16SMIASMIA
100	 G	 1	 O51L	 16SMIASMIA
100	 G	 1	 O51P	 16SMIASMIA
100	 G	 1	 O51U	 16SMIASMIA
100	 G	 1	 O51V	 16SMIASMIA
100	 G	 1	 O51W	 16SMIASMIA
100	 G	 1	 O51X	 16SMIASMIA
100	 G	 1	 O51Y	 16SMIASMIA
100	 G	 1	 O540	 16SMZASMZA
100	 G	 1	 O541	 16SMZASMZA
100	 G	 1	 O542	 16SMZASMZA
100	 G	 1	 O571	 16SMZASMZA
100	 G	 1	 O573	 16SMZASMZA
100	 G	 1	 O577	 16AZAAAZAA
100	 G	 1	 O57Y	 11O57Y5748
100	 G	 1	 O583	 16SMQASMQA
100	 G	 1	 O588	 16SMQMSMQM
100	 G	 1	 O58A	 16SMQASMQA
100	 G	 1	 O58B	 16SMQASMQA
100	 G	 1	 O58E	 16SMQASMQA
100	 G	 1	 O58F	 16SMQASMQA
100	 G	 1	 O58I	 16SMQASMQA
100	 G	 1	 O58K	 16SMQMSMQM
100	 G	 1	 O58M	 16SMQASMQA
100	 G	 1	 O58N	 16SMQASMQA
100	 G	 1	 O58V	 16SMQASMQA
100	 G	 1	 O597	 11O597489E
100	 G	 2	 0044	 16SMPASMPA
100	 G	 2	 0046	 16SMQASMQA
100	 G	 2	 0047	 16SMZASMZA
100	 G	 2	 044L	 16SMPASMPA
100	 G	 2	 044M	 16SMPMSMPM
100	 G	 2	 045A	 16SMVASMVA
100	 G	 2	 045H	 16IIMAIIMA
100	 G	 2	 045L	 16SMGASMGA
100	 G	 2	 045M	 16SMOMSMOM
100	 G	 2	 045N	 16SMGASMGA
100	 G	 2	 045P	 16SMOASMOA
100	 G	 2	 045Q	 16SMOASMOA
100	 G	 2	 045S	 16SMOASMOA
100	 G	 2	 045T	 16SMGASMGA
100	 G	 2	 045U	 16SMOASMOA
100	 G	 2	 045V	 16IIMAIIMA
100	 G	 2	 045X	 16SMGMSMGM
100	 G	 2	 045Y	 16SMGASMGA
100	 G	 2	 045Z	 16SMGASMGA
100	 G	 2	 046G	 16SMQASMQA
100	 G	 2	 046H	 16IIMAIIMA
100	 G	 2	 046K	 16SMQASMQA
100	 G	 2	 046L	 16SMQASMQA
100	 G	 2	 046M	 16SMQMSMQM
100	 G	 2	 046P	 16IIMAIIMA
100	 G	 2	 046R	 16SMQASMQA
100	 G	 2	 046V	 16SMQASMQA
100	 G	 2	 047L	 16SMZASMZA
100	 G	 2	 047M	 16SMZMSMZM
100	 G	 2	 047N	 16SMZASMZA
100	 G	 2	 047V	 16SMZASMZA
100	 G	 2	 047W	 16SMZASMZA
100	 G	 2	 049H	 16IIMAIIMA
100	 G	 2	 049J	 16SMPMSMPM
100	 G	 2	 049M	 16SMOMSMOM
100	 G	 2	 049P	 16SMOASMOA
100	 G	 2	 049Q	 16SMQASMQA
100	 G	 2	 049S	 16SMPASMPA
100	 G	 2	 049T	 16SMZASMZA
100	 G	 2	 049V	 16SMZMSMZM
100	 G	 2	 049X	 16SMQMSMQM
100	 G	 2	 049Y	 16SMQMSMQM
100	 G	 2	 04EB	 16ESEMESEM
100	 G	 2	 04ER	 16ESEAESEA
100	 G	 2	 0544	 110544054P
100	 G	 2	 0552	 16SMPASMPA
100	 G	 2	 055M	 16SMPMSMPM
100	 G	 2	 0596	 16SMPASMPA
100	 G	 2	 059M	 16SMPMSMPM
100	 G	 2	 45HB	 12045H45H8
100	 G	 2	 8ANA	 16AAAAAAAA
100	 G	 2	 8CNA	 16ACAAACAA
100	 G	 2	 8ENA	 16SXGASXGA
100	 G	 2	 8FGA	 16FSGAFSGA
100	 G	 2	 8FQA	 16FSQAFSQA
100	 G	 2	 8FSA	 16FSZAFSZA
100	 G	 2	 8NNA	 16AUAAAUAA
100	 G	 2	 8NNQ	 16AOACAOAC
100	 G	 2	 8ONA	 16AZAAAZAA
100	 G	 2	 8PGC	 16APACAPAC
