AM: KPI assignment to Org. Level


MANDT	 KPITY	 KPIFR	 VKORG	 BUKRS	 TRESHOLD2	 TRESHOLD3
100	 N	 003	 	 AFRA	 0.0000 	 0.0000
100	 N	 003	 	 BGAA	 0.0000 	 0.0000
100	 N	 003	 	 CHAA	 0.0000 	 0.0000
100	 N	 003	 	 CPRA	 0.0000 	 0.0000
100	 N	 003	 	 ESAA	 0.0000 	 0.0000
100	 N	 003	 	 GBAA	 0.0000 	 0.0000
100	 N	 003	 	 IYAA	 0.0000 	 0.0000
100	 N	 003	 	 NLAA	 0.0000 	 0.0000
100	 N	 003	 	 NNAA	 0.0000 	 0.0000
100	 N	 008	 ADEA	 	 0.0000 	 0.0000
100	 N	 008	 AFRA	 	 0.0000 	 0.0000
100	 N	 008	 BGAA	 	 0.0000 	 0.0000
100	 N	 008	 CHAA	 	 0.0000 	 0.0000
100	 N	 008	 CPRA	 	 0.0000 	 0.0000
100	 N	 008	 ESAA	 	 0.0000 	 0.0000
100	 N	 008	 GBAA	 	 0.0000 	 0.0000
100	 N	 008	 IYAA	 	 0.0000 	 0.0000
100	 N	 008	 NLAA	 	 0.0000 	 0.0000
100	 N	 008	 NNAA	 	 0.0000 	 0.0000
100	 N	 009	 	 ADEA	 0.0000 	 0.0000
100	 N	 009	 	 AFRA	 0.0000 	 0.0000
100	 N	 009	 	 BGAA	 0.0000 	 0.0000
100	 N	 009	 	 CHAA	 0.0000 	 0.0000
100	 N	 009	 	 CPRA	 0.0000 	 0.0000
100	 N	 009	 	 ESAA	 0.0000 	 0.0000
100	 N	 009	 	 GBAA	 0.0000 	 0.0000
100	 N	 009	 	 IYAA	 0.0000 	 0.0000
100	 N	 009	 	 NLAA	 0.0000 	 0.0000
100	 N	 009	 	 NNAA	 0.0000 	 0.0000
100	 N	 011	 	 ADEA	 0.0000 	 0.0000
100	 N	 011	 	 AFRA	 0.0000 	 0.0000
100	 N	 011	 	 BGAA	 0.0000 	 0.0000
100	 N	 011	 	 CHAA	 0.0000 	 0.0000
100	 N	 011	 	 CPRA	 0.0000 	 0.0000
100	 N	 011	 	 ESAA	 0.0000 	 0.0000
100	 N	 011	 	 GBAA	 0.0000 	 0.0000
100	 N	 011	 	 IYAA	 0.0000 	 0.0000
100	 N	 011	 	 NLAA	 0.0000 	 0.0000
100	 N	 011	 	 NNAA	 0.0000 	 0.0000
100	 N	 012	 	 ADEA	 0.0000 	 0.0000
100	 N	 012	 	 AFRA	 0.0000 	 0.0000
100	 N	 012	 	 BGAA	 0.0000 	 0.0000
100	 N	 012	 	 CHAA	 0.0000 	 0.0000
100	 N	 012	 	 CPRA	 0.0000 	 0.0000
100	 N	 012	 	 ESAA	 0.0000 	 0.0000
100	 N	 012	 	 GBAA	 0.0000 	 0.0000
100	 N	 012	 	 IYAA	 0.0000 	 0.0000
100	 N	 012	 	 NLAA	 0.0000 	 0.0000
100	 N	 012	 	 NNAA	 0.0000 	 0.0000
100	 N	 013	 	 ADEA	 0.0000 	 0.0000
100	 N	 013	 	 AFRA	 0.0000 	 0.0000
100	 N	 013	 	 BGAA	 0.0000 	 0.0000
100	 N	 013	 	 CHAA	 0.0000 	 0.0000
100	 N	 013	 	 CPRA	 0.0000 	 0.0000
100	 N	 013	 	 ESAA	 0.0000 	 0.0000
100	 N	 013	 	 GBAA	 0.0000 	 0.0000
100	 N	 013	 	 IYAA	 0.0000 	 0.0000
100	 N	 013	 	 NLAA	 0.0000 	 0.0000
100	 N	 013	 	 NNAA	 0.0000 	 0.0000
100	 N	 014	 	 ADEA	 0.0000 	 0.0000
100	 N	 014	 	 AFRA	 0.0000 	 0.0000
100	 N	 014	 	 BGAA	 0.0000 	 0.0000
100	 N	 014	 	 CHAA	 0.0000 	 0.0000
100	 N	 014	 	 CPRA	 0.0000 	 0.0000
100	 N	 014	 	 ESAA	 0.0000 	 0.0000
100	 N	 014	 	 GBAA	 0.0000 	 0.0000
100	 N	 014	 	 IYAA	 0.0000 	 0.0000
100	 N	 014	 	 NLAA	 0.0000 	 0.0000
100	 N	 014	 	 NNAA	 0.0000 	 0.0000
100	 N	 015	 ADEA	 	 0.0000 	 0.0000
100	 N	 015	 AFRA	 	 0.0000 	 0.0000
100	 N	 015	 BGAA	 	 0.0000 	 0.0000
100	 N	 015	 CHAA	 	 0.0000 	 0.0000
100	 N	 015	 CPRA	 	 0.0000 	 0.0000
100	 N	 015	 ESAA	 	 0.0000 	 0.0000
100	 N	 015	 GBAA	 	 0.0000 	 0.0000
100	 N	 015	 IYAA	 	 0.0000 	 0.0000
100	 N	 015	 NLAA	 	 0.0000 	 0.0000
100	 N	 015	 NNAA	 	 0.0000 	 0.0000
100	 N	 016	 ADEA	 	 0.0000 	 0.0000
100	 N	 016	 AFRA	 	 0.0000 	 0.0000
100	 N	 016	 BGAA	 	 0.0000 	 0.0000
100	 N	 016	 CHAA	 	 0.0000 	 0.0000
100	 N	 016	 CPRA	 	 0.0000 	 0.0000
100	 N	 016	 ESAA	 	 0.0000 	 0.0000
100	 N	 016	 GBAA	 	 0.0000 	 0.0000
100	 N	 016	 IYAA	 	 0.0000 	 0.0000
100	 N	 016	 NLAA	 	 0.0000 	 0.0000
100	 N	 016	 NNAA	 	 0.0000 	 0.0000
