Sales document types relevant for commission reporting


MANDT	 VKORG	 VTWEG	 SPART	 VBTYP	 AUART
100	 PL01	 01	 01	 C	 ZOR
100	 PL01	 01	 01	 C	 ZOR1
100	 PL01	 01	 01	 C	 ZOR2
100	 PL01	 01	 01	 C	 ZOR3
100	 PL02	 01	 01	 C	 ZKE
100	 PL02	 01	 01	 C	 ZOR
100	 PL02	 01	 01	 C	 ZOR1
100	 PL02	 01	 01	 C	 ZOR2
100	 PL02	 01	 01	 C	 ZOR3
100	 RU01	 01	 01	 C	 ZKE
100	 RU01	 01	 01	 C	 ZOR
100	 RU01	 01	 03	 C	 ZKE
100	 RU01	 01	 03	 C	 ZOR
100	 RU01	 01	 04	 C	 ZKE
100	 RU01	 01	 04	 C	 ZOR
100	 RU01	 01	 06	 C	 ZKE
100	 RU01	 01	 06	 C	 ZOR
100	 RU01	 01	 31	 C	 ZKE
100	 RU01	 01	 31	 C	 ZOR
100	 RU01	 01	 35	 C	 ZKE
100	 RU01	 01	 35	 C	 ZOR
100	 RU01	 01	 36	 C	 ZKE
100	 RU01	 01	 36	 C	 ZOR
100	 RU01	 02	 01	 C	 ZKE
100	 RU01	 02	 01	 C	 ZOR
100	 RU01	 02	 03	 C	 ZKE
100	 RU01	 02	 03	 C	 ZOR
100	 RU01	 02	 04	 C	 ZKE
100	 RU01	 02	 04	 C	 ZOR
100	 RU01	 02	 06	 C	 ZKE
100	 RU01	 02	 06	 C	 ZOR
100	 RU01	 02	 31	 C	 ZKE
100	 RU01	 02	 31	 C	 ZOR
100	 RU01	 02	 35	 C	 ZKE
100	 RU01	 02	 35	 C	 ZOR
100	 RU01	 02	 36	 C	 ZKE
100	 RU01	 02	 36	 C	 ZOR
100	 RU02	 01	 01	 C	 ZKE
100	 RU02	 01	 01	 C	 ZOR
100	 RU02	 02	 01	 C	 ZKE
100	 RU02	 02	 01	 C	 ZOR
100	 RU03	 01	 01	 C	 ZKE
100	 RU03	 01	 01	 C	 ZOR
100	 RU03	 01	 04	 C	 ZKE
100	 RU03	 01	 04	 C	 ZOR
100	 RU03	 01	 15	 C	 ZKE
100	 RU03	 01	 15	 C	 ZOR
100	 RU03	 01	 16	 C	 ZKE
100	 RU03	 01	 16	 C	 ZOR
100	 RU03	 01	 32	 C	 ZKE
100	 RU03	 01	 32	 C	 ZOR
100	 RU03	 01	 50	 C	 ZKE
100	 RU03	 01	 50	 C	 ZOR
100	 RU03	 02	 04	 C	 ZKE
100	 RU03	 02	 04	 C	 ZOR
100	 RU03	 02	 15	 C	 ZKE
100	 RU03	 02	 15	 C	 ZOR
100	 RU03	 02	 16	 C	 ZKE
100	 RU03	 02	 16	 C	 ZOR
100	 RU03	 02	 32	 C	 ZKE
100	 RU03	 02	 32	 C	 ZOR
100	 RU03	 02	 50	 C	 ZKE
100	 RU03	 02	 50	 C	 ZOR
100	 RU04	 01	 41	 C	 ZKE
100	 RU04	 01	 41	 C	 ZOR
100	 RU04	 02	 41	 C	 ZKE
100	 RU04	 02	 41	 C	 ZOR
