Generated Table for View YAM_MAT2


MANDT	 MATNR	 MATKL	 VKORG	 VTWEG	 SPRAS	 MAKTG	 BISMT
100	 000000010001000014	 7450	 NNAA	 11	 R	 DIS FOR RU	
100	 000000010001000014	 7450	 ADEA	 11	 S	 HORAS DE VIAJE	
100	 000000010001000014	 7450	 CHAA	 11	 S	 HORAS DE VIAJE	
100	 000000010001000014	 7450	 CPRA	 11	 S	 HORAS DE VIAJE	
100	 000000010001000014	 7450	 ESAA	 11	 S	 HORAS DE VIAJE	
100	 000000010001000014	 7450	 IYAA	 11	 S	 HORAS DE VIAJE	
100	 000000010001000014	 7450	 NNAA	 11	 S	 HORAS DE VIAJE	
100	 000000010001000015	 7450	 ADEA	 11	 D	 REISESPESEN	
100	 000000010001000015	 7450	 CPRA	 11	 D	 REISESPESEN	
100	 000000010001000015	 7450	 ESAA	 11	 D	 REISESPESEN	
100	 000000010001000015	 7450	 IYAA	 11	 D	 REISESPESEN	
100	 000000010001000015	 7450	 NNAA	 11	 D	 REISESPESEN	
100	 000000010001000015	 7450	 ADEA	 11	 E	 TRAVEL ALLOWANCE	
100	 000000010001000015	 7450	 CPRA	 11	 E	 TRAVEL ALLOWANCE	
100	 000000010001000015	 7450	 ESAA	 11	 E	 TRAVEL ALLOWANCE	
100	 000000010001000015	 7450	 IYAA	 11	 E	 TRAVEL ALLOWANCE	
100	 000000010001000015	 7450	 NNAA	 11	 E	 TRAVEL ALLOWANCE	
100	 000000010001000016	 7450	 ADEA	 11	 D	 #BERNACHTUNG	
100	 000000010001000016	 7450	 CHAA	 11	 D	 #BERNACHTUNG	
100	 000000010001000016	 7450	 CPRA	 11	 D	 #BERNACHTUNG	
100	 000000010001000016	 7450	 ESAA	 11	 D	 #BERNACHTUNG	
100	 000000010001000016	 7450	 IYAA	 11	 D	 #BERNACHTUNG	
100	 000000010001000016	 7450	 NNAA	 11	 D	 #BERNACHTUNG	
100	 000000010001000016	 7450	 ADEA	 11	 E	 OVERNIGHT STAY	
100	 000000010001000016	 7450	 CHAA	 11	 E	 OVERNIGHT STAY	
100	 000000010001000016	 7450	 CPRA	 11	 E	 OVERNIGHT STAY	
100	 000000010001000016	 7450	 ESAA	 11	 E	 OVERNIGHT STAY	
100	 000000010001000016	 7450	 IYAA	 11	 E	 OVERNIGHT STAY	
100	 000000010001000016	 7450	 NNAA	 11	 E	 OVERNIGHT STAY	
100	 000000010001000016	 7450	 ADEA	 11	 S	 PERNOCTACION	
100	 000000010001000016	 7450	 CHAA	 11	 S	 PERNOCTACION	
100	 000000010001000016	 7450	 CPRA	 11	 S	 PERNOCTACION	
100	 000000010001000016	 7450	 ESAA	 11	 S	 PERNOCTACION	
100	 000000010001000016	 7450	 IYAA	 11	 S	 PERNOCTACION	
100	 000000010001000016	 7450	 NNAA	 11	 S	 PERNOCTACION	
100	 000000010001000017	 7450	 ADEA	 11	 D	 ARBEITSSTUNDEN VSD	
100	 000000010001000017	 7450	 ESAA	 11	 D	 ARBEITSSTUNDEN VSD	
100	 000000010001000017	 7450	 IYAA	 11	 D	 ARBEITSSTUNDEN VSD	
100	 000000010001000017	 7450	 ADEA	 11	 E	 LABOUR SITE VSD	
100	 000000010001000017	 7450	 ESAA	 11	 E	 LABOUR SITE VSD	
100	 000000010001000017	 7450	 IYAA	 11	 E	 LABOUR SITE VSD	
100	 000000010001000017	 7450	 ADEA	 11	 S	 HORAS EQUIPOS VSD	
100	 000000010001000017	 7450	 ESAA	 11	 S	 HORAS EQUIPOS VSD	
100	 000000010001000017	 7450	 IYAA	 11	 S	 HORAS EQUIPOS VSD	
100	 000000010001000018	 7450	 ADEA	 11	 D	 ARBEITSVORBEREITUNG VSD	
100	 000000010001000018	 7450	 ESAA	 11	 D	 ARBEITSVORBEREITUNG VSD	
100	 000000010001000018	 7450	 ADEA	 11	 E	 WORK PREPARATION VSD	
100	 000000010001000018	 7450	 ESAA	 11	 E	 WORK PREPARATION VSD	
100	 000000010001000018	 7450	 ADEA	 11	 S	  PREPARACION EQUIPOS VSD	
100	 000000010001000018	 7450	 ESAA	 11	 S	  PREPARACION EQUIPOS VSD	
100	 000000010001000019	 7450	 ADEA	 11	 D	 REISESTUNDEN VSD	
100	 000000010001000019	 7450	 CHAA	 11	 D	 REISESTUNDEN VSD	
100	 000000010001000019	 7450	 ESAA	 11	 D	 REISESTUNDEN VSD	
100	 000000010001000019	 7450	 IYAA	 11	 D	 REISESTUNDEN VSD	
100	 000000010001000019	 7450	 ADEA	 11	 E	 LABOUR TRAVEL VSD	
100	 000000010001000019	 7450	 CHAA	 11	 E	 LABOUR TRAVEL VSD	
100	 000000010001000019	 7450	 ESAA	 11	 E	 LABOUR TRAVEL VSD	
100	 000000010001000019	 7450	 IYAA	 11	 E	 LABOUR TRAVEL VSD	
100	 000000010001000019	 7450	 ADEA	 11	 S	 HORAS VIAJE EQUIPOS VSD	
100	 000000010001000019	 7450	 CHAA	 11	 S	 HORAS VIAJE EQUIPOS VSD	
100	 000000010001000019	 7450	 ESAA	 11	 S	 HORAS VIAJE EQUIPOS VSD	
100	 000000010001000019	 7450	 IYAA	 11	 S	 HORAS VIAJE EQUIPOS VSD	
100	 000000010001000020	 7450	 CPRA	 11	 E	 LABOUR OFFSHORE	
100	 000000010001000020	 7450	 ESAA	 11	 E	 LABOUR OFFSHORE	
100	 000000010001000020	 7450	 NNAA	 11	 E	 LABOUR OFFSHORE	
100	 000000010001000020	 7450	 CPRA	 11	 O	 ARBEIDSTID OFFSHORE	
100	 000000010001000020	 7450	 ESAA	 11	 O	 ARBEIDSTID OFFSHORE	
100	 000000010001000020	 7450	 NNAA	 11	 O	 ARBEIDSTID OFFSHORE	
100	 000000010001000020	 7450	 CPRA	 11	 S	 HORAS EN BARCOS	
100	 000000010001000020	 7450	 ESAA	 11	 S	 HORAS EN BARCOS	
100	 000000010001000020	 7450	 NNAA	 11	 S	 HORAS EN BARCOS	
100	 000000010001000021	 7450	 ESAA	 11	 E	 LABOUR WORKSHOP	
100	 000000010001000021	 7450	 NLAA	 11	 E	 LABOUR WORKSHOP	
100	 000000010001000021	 7450	 NNAA	 11	 E	 LABOUR WORKSHOP	
100	 000000010001000021	 7450	 ESAA	 11	 N	 WERKPLAATS	
100	 000000010001000021	 7450	 NLAA	 11	 N	 WERKPLAATS	
100	 000000010001000021	 7450	 NNAA	 11	 N	 WERKPLAATS	
100	 000000010001000021	 7450	 ESAA	 11	 O	 ARBEIDSTID	
100	 000000010001000021	 7450	 NLAA	 11	 O	 ARBEIDSTID	
100	 000000010001000021	 7450	 NNAA	 11	 O	 ARBEIDSTID	
100	 000000010001000021	 7450	 ESAA	 11	 S	 HORAS TALLER	
100	 000000010001000021	 7450	 NLAA	 11	 S	 HORAS TALLER	
100	 000000010001000021	 7450	 NNAA	 11	 S	 HORAS TALLER	
100	 000000010001000022	 7450	 ESAA	 11	 E	 WAITING TIME HELICOPTER	
100	 000000010001000022	 7450	 NNAA	 11	 E	 WAITING TIME HELICOPTER	
100	 000000010001000022	 7450	 ESAA	 11	 O	 VENTETID HELIKOPTER	
100	 000000010001000022	 7450	 NNAA	 11	 O	 VENTETID HELIKOPTER	
100	 000000010001000022	 7450	 ESAA	 11	 S	 HORAS ESPERA HELICOPTERO	
100	 000000010001000022	 7450	 NNAA	 11	 S	 HORAS ESPERA HELICOPTERO	
100	 000000010001000023	 7450	 CHAA	 11	 E	 TECHNICAL SPECIALIST	
100	 000000010001000023	 7450	 ESAA	 11	 E	 TECHNICAL SPECIALIST	
100	 000000010001000023	 7450	 NLAA	 11	 E	 TECHNICAL SPECIALIST	
100	 000000010001000023	 7450	 NNAA	 11	 E	 TECHNICAL SPECIALIST	
100	 000000010001000023	 7450	 CHAA	 11	 F	 SP#CIALISTE TECHNIQUE	
100	 000000010001000023	 7450	 ESAA	 11	 F	 SP#CIALISTE TECHNIQUE	
100	 000000010001000023	 7450	 NLAA	 11	 F	 SP#CIALISTE TECHNIQUE	
100	 000000010001000023	 7450	 NNAA	 11	 F	 SP#CIALISTE TECHNIQUE	
100	 000000010001000023	 7450	 CHAA	 11	 N	 TECHNISCH SPECIALIST	
100	 000000010001000023	 7450	 ESAA	 11	 N	 TECHNISCH SPECIALIST	
100	 000000010001000023	 7450	 NLAA	 11	 N	 TECHNISCH SPECIALIST	
100	 000000010001000023	 7450	 NNAA	 11	 N	 TECHNISCH SPECIALIST	
100	 000000010001000023	 7450	 CHAA	 11	 O	 ARBEIDSTID INGENI#R	
100	 000000010001000023	 7450	 ESAA	 11	 O	 ARBEIDSTID INGENI#R	
100	 000000010001000023	 7450	 NLAA	 11	 O	 ARBEIDSTID INGENI#R	
100	 000000010001000023	 7450	 NNAA	 11	 O	 ARBEIDSTID INGENI#R	
100	 000000010001000023	 7450	 CHAA	 11	 S	 HORASTECNICO ESPECIALISTA	
100	 000000010001000023	 7450	 ESAA	 11	 S	 HORASTECNICO ESPECIALISTA	
100	 000000010001000023	 7450	 NLAA	 11	 S	 HORASTECNICO ESPECIALISTA	
100	 000000010001000023	 7450	 NNAA	 11	 S	 HORASTECNICO ESPECIALISTA	
100	 000000010001000024	 7450	 BGAA	 11	 E	 EXPENSES AND LODGING	
100	 000000010001000024	 7450	 ESAA	 11	 E	 EXPENSES AND LODGING	
100	 000000010001000024	 7450	 NNAA	 11	 E	 EXPENSES AND LODGING	
100	 000000010001000024	 7450	 BGAA	 11	 F	 FRAIS DE SEJOUR	
100	 000000010001000024	 7450	 ESAA	 11	 F	 FRAIS DE SEJOUR	
100	 000000010001000024	 7450	 NNAA	 11	 F	 FRAIS DE SEJOUR	
100	 000000010001000024	 7450	 BGAA	 11	 N	 OVERNACHTING	
100	 000000010001000024	 7450	 ESAA	 11	 N	 OVERNACHTING	
100	 000000010001000024	 7450	 NNAA	 11	 N	 OVERNACHTING	
100	 000000010001000024	 7450	 BGAA	 11	 O	 DIETT	
100	 000000010001000024	 7450	 ESAA	 11	 O	 DIETT	
100	 000000010001000024	 7450	 NNAA	 11	 O	 DIETT	
100	 000000010001000024	 7450	 BGAA	 11	 S	 COSTOS Y EL ALOJARSE	
100	 000000010001000024	 7450	 ESAA	 11	 S	 COSTOS Y EL ALOJARSE	
100	 000000010001000024	 7450	 NNAA	 11	 S	 COSTOS Y EL ALOJARSE	
100	 000000010001000025	 7450	 BGAA	 11	 E	 PROCESS AND MEASUREMENT SPECIALIST	
100	 000000010001000025	 7450	 CHAA	 11	 E	 PROCESS AND MEASUREMENT SPECIALIST	
100	 000000010001000025	 7450	 ESAA	 11	 E	 PROCESS AND MEASUREMENT SPECIALIST	
100	 000000010001000025	 7450	 BGAA	 11	 F	 SP#CIAL MESURE ET R#GULATION GAP	
100	 000000010001000025	 7450	 CHAA	 11	 F	 SP#CIAL MESURE ET R#GULATION GAP	
100	 000000010001000025	 7450	 ESAA	 11	 F	 SP#CIAL MESURE ET R#GULATION GAP	
100	 000000010001000025	 7450	 BGAA	 11	 N	 MEET & REGELTECHNICUS GAP	
100	 000000010001000025	 7450	 CHAA	 11	 N	 MEET & REGELTECHNICUS GAP	
100	 000000010001000025	 7450	 ESAA	 11	 N	 MEET & REGELTECHNICUS GAP	
100	 000000010001000026	 7450	 BGAA	 11	 E	 EMERGENCY CALL	
100	 000000010001000026	 7450	 CHAA	 11	 E	 EMERGENCY CALL	
100	 000000010001000026	 7450	 NNAA	 11	 E	 EMERGENCY CALL	
100	 000000010001000026	 7450	 BGAA	 11	 F	 COMPENSATION APPEL D'URGENCE	
100	 000000010001000026	 7450	 CHAA	 11	 F	 COMPENSATION APPEL D'URGENCE	
100	 000000010001000026	 7450	 NNAA	 11	 F	 COMPENSATION APPEL D'URGENCE	
100	 000000010001000026	 7450	 BGAA	 11	 N	 VERGOEDING NOODOPROEP	
100	 000000010001000026	 7450	 CHAA	 11	 N	 VERGOEDING NOODOPROEP	
100	 000000010001000026	 7450	 NNAA	 11	 N	 VERGOEDING NOODOPROEP	
100	 000000010001000026	 7450	 BGAA	 11	 O	 N	
100	 000000010001000026	 7450	 CHAA	 11	 O	 N	
100	 000000010001000026	 7450	 NNAA	 11	 O	 N	
100	 000000010001000026	 7450	 BGAA	 11	 S	 LLAMADA DE EMERGENCIA	
100	 000000010001000026	 7450	 CHAA	 11	 S	 LLAMADA DE EMERGENCIA	
