AM: Column headings for HR-reporting


MANDT	 WERKS	 ZREPTP	 ZCOLNR	 ZCOLHD
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 010	 Customer Visit
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 011	 Administration
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 012	 Branch Maintenance
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 013	 Total NP (NormHr)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 014	 Total NP Hr (OT)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 016	 Sick (Hr)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 018	 Accident (Hr)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 020	 Rest (Hr)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 021	 Rest (Day)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 023	 Lieu Day (Day)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 025	 Holiday / Leave (Day
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 027	 Public Holiday (Day)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 028	 Total NP Hr(NormHr+O
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 029	 Sick (Day)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 030	 Accident  (Day)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 100	 Lieu Day (Hr)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 101	 Holiday / Leave (Hr)
100	 CD01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 102	 Public Holiday (Hr)
100	 CD01	 PRODUCTIVE HOURS	 001	 Labour (Normal Hr)
100	 CD01	 PRODUCTIVE HOURS	 002	 Labour(OTNormalDay)
100	 CD01	 PRODUCTIVE HOURS	 003	 Labour (OT Weekend)
100	 CD01	 PRODUCTIVE HOURS	 004	 Labour(OTPublHoliday
100	 CD01	 PRODUCTIVE HOURS	 005	 Total Labour (OT)
100	 CD01	 PRODUCTIVE HOURS	 007	 Travel (Normal Hr)
100	 CD01	 PRODUCTIVE HOURS	 008	 Travel (OTNormalDay)
100	 CD01	 PRODUCTIVE HOURS	 009	 Travel (OT Weekend)
100	 CD01	 PRODUCTIVE HOURS	 010	 Travel(OTPublHoliday
100	 CD01	 PRODUCTIVE HOURS	 013	 TotalProduc(NormHr)
100	 CD01	 PRODUCTIVE HOURS	 016	 Total Evaluated Hr
100	 CD01	 PRODUCTIVE HOURS	 021	 TotalLabr(NormHr+OT)
100	 CD01	 PRODUCTIVE HOURS	 022	 TotalTravl(NormHr+OT
100	 CD01	 PRODUCTIVE HOURS	 023	 TotalProductive(OT)
100	 CD01	 PRODUCTIVE HOURS	 024	 Total Travel OT
100	 CD01	 PRODUCTIVE HOURS	 100	 TotProduct(NormHr+OT
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 001	 Labour (Normal Hr)
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 002	 Labour(OTNormalDay)
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 003	 Labour (OT Weekend)
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 004	 Labour(OTPublHoliday
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 005	 Total Labour (OT)
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 007	 Travel (Normal Hr)
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 008	 Travel (OTNormalDay)
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 009	 Travel (OT Weekend)
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 010	 Travel(OTPublHoliday
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 012	 TotTravel(NormHr+OT)
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 013	 TotalProduc(NormHr)
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 016	 Total Evaluated Hr
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 021	 TotalLabr(NormHr+OT)
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 022	 Total Travel (OT)
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 023	 TotalProductive(OT)
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 025	 Total Variance
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 026	 Performanc% -Varianc
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 027	 Performanc% +Varianc
100	 CD01	 PRODUCTIVE HOURS - OVERVIEW	 100	 TotProduct(NormHr+OT
100	 CHAA	 HR REPORT	 001	 Arbeit/Travail
100	 CHAA	 HR REPORT	 002	 Reise/Voyage
100	 CHAA	 HR REPORT	 003	 Kilometer/Kilomètres
100	 CHAA	 HR REPORT	 004	 NP Arbeit/Travail NP
100	 CHAA	 HR REPORT	 005	 Ferien/Vacances
100	 CHAA	 HR REPORT	 006	 Feiertage/Joursferie
100	 CHAA	 HR REPORT	 007	 Krankheit/Maladie
100	 CHAA	 HR REPORT	 008	 Unfall/Accident
100	 CHAA	 HR REPORT	 009	 Milit#r/Militaire
100	 CHAA	 HR REPORT	 010	 Diverse/Divers
100	 CHAA	 HR REPORT	 011	 Spesen/Frais
100	 CHAA	 HR REPORT	 012	
100	 CHAA	 HR REPORT	 013	
100	 CHAA	 HR REPORT	 014	
100	 CHAA	 HR REPORT	 015	
100	 CHAA	 HR REPORT	 016	
100	 CHAA	 HR REPORT NON PROD	 001	 Betreuung
100	 CHAA	 HR REPORT NON PROD	 002	 Interne Arbeit
100	 CHAA	 HR REPORT NON PROD	 003	 Schulung
100	 CHAA	 HR REPORT NON PROD	 004	 Kundenberatung
100	 CHAA	 HR REPORT NON PROD	 005	 Tagung
100	 CHAA	 HR REPORT NON PROD	 006	 Urlaub
100	 CHAA	 HR REPORT NON PROD	 007	 Krankheit
100	 CHAA	 HR REPORT NON PROD	 008	 Abfeiern
100	 CHAA	 HR REPORT NON PROD	 009	 Bezahlte Absenz
100	 CHAA	 HR REPORT NON PROD	 010	 Feiertag
100	 CHAA	 HR REPORT NON PROD	 011	 Arbeitsunfall
100	 CHAA	 HR REPORT NON PROD	 012	 Kilometer
100	 CHAA	 HR REPORT NON PROD	 013	 Administration
100	 CHAA	 HR REPORT NON PROD	 014	 Spesen
100	 CHAA	 HR REPORT NON PROD	 015	 Pikettentsch#digung
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 001	 Training Normal Hr
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 002	 Training OT NormDay
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 003	 Training OT Weekend
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 004	 Meeting
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 005	 Meeting OT NormDay
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 006	 Meeting  OT Weekend
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 007	 Travel - NP
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 008	 Travel NP OT NormDay
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 009	 Travel NP OT Weekend
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 010	 Customer Visit
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 011	 Administration
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 012	 Branch Maintenance
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 013	 Total NP (NormHr)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 014	 Total NP Hr (OT)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 016	 Sick (Hr)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 018	 Accident (Hr)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 020	 Rest (Hr)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 021	 Rest (Day)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 023	 Lieu Day (Day)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 025	 Holiday / Leave (Day
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 027	 Public Holiday (Day)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 028	 Total NP Hr(NormHr+O
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 029	 Sick (Day)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 030	 Accident  (Day)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 100	 Lieu Day (Hr)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 101	 Holiday / Leave (Hr)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE	 102	 Public Holiday (Hr)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 001	 Training Normal Hr
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 002	 Training OT NormDay
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 003	 Training OT Weekend
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 004	 Meeting
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 005	 Meeting OT NormDay
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 006	 Meeting  OT Weekend
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 007	 Travel - NP
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 008	 Travel NP OT NormDay
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 009	 Travel NP OT Weekend
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 010	 Customer Visit
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 011	 Administration
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 012	 Branch Maintenance
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 013	 Total NP (NormHr)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 014	 Total NP Hr (OT)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 016	 Sick (Hr)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 018	 Accident (Hr)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 020	 Rest (Hr)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 021	 Rest (Day)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 023	 Lieu Day (Day)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 025	 Holiday / Leave (Day
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 027	 Public Holiday (Day)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 028	 Total NP Hr(NormHr+O
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 029	 Sick (Day)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 030	 Accident  (Day)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 100	 Lieu Day (Hr)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 101	 Holiday / Leave (Hr)
100	 CN01	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 102	 Public Holiday (Hr)
100	 CN01	 PRODUCTIVE HOURS	 001	 Labour (Normal Hr)
100	 CN01	 PRODUCTIVE HOURS	 002	 Labour(OTNormalDay)
100	 CN01	 PRODUCTIVE HOURS	 003	 Labour (OT Weekend)
100	 CN01	 PRODUCTIVE HOURS	 004	 Labour(OTPublHoliday
100	 CN01	 PRODUCTIVE HOURS	 005	 Total Labour (OT)
100	 CN01	 PRODUCTIVE HOURS	 007	 Travel (Normal Hr)
100	 CN01	 PRODUCTIVE HOURS	 008	 Travel (OTNormalDay)
100	 CN01	 PRODUCTIVE HOURS	 009	 Travel (OT Weekend)
100	 CN01	 PRODUCTIVE HOURS	 010	 Travel(OTPublHoliday
100	 CN01	 PRODUCTIVE HOURS	 013	 TotalProduc(NormHr)
100	 CN01	 PRODUCTIVE HOURS	 016	 Total Evaluated Hr
100	 CN01	 PRODUCTIVE HOURS	 021	 TotalLabr(NormHr+OT)
100	 CN01	 PRODUCTIVE HOURS	 022	 TotalTravl(NormHr+OT
100	 CN01	 PRODUCTIVE HOURS	 023	 TotalProductive(OT)
100	 CN01	 PRODUCTIVE HOURS	 024	 Total Travel OT
100	 CN01	 PRODUCTIVE HOURS	 100	 TotProduct(NormHr+OT
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 001	 Labour (Normal Hr)
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 002	 Labour(OTNormalDay)
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 003	 Labour (OT Weekend)
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 004	 Labour(OTPublHoliday
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 005	 Total Labour (OT)
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 007	 Travel (Normal Hr)
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 008	 Travel (OTNormalDay)
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 009	 Travel (OT Weekend)
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 010	 Travel(OTPublHoliday
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 012	 TotTravel(NormHr+OT)
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 013	 TotalProduc(NormHr)
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 016	 Total Evaluated Hr
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 021	 TotalLabr(NormHr+OT)
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 022	 Total Travel (OT)
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 023	 TotalProductive(OT)
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 025	 Total Variance
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 026	 Performanc% -Varianc
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 027	 Performanc% +Varianc
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 100	 TotProduct(NormHr+OT
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 001	 TotalLabour(NormHr)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 002	 Total Labour (OT)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 003	 TotLabour(NormHr+OT)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 004	 Travel (Normal Hr)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 005	 Total Travel (OT)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 006	 TotTravel(NormHr+OT)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 007	 TotalProd (NormHr)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 008	 TotalProd (OT)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 009	 TotProd (NormHr+OT)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 010	 Training (Normal Hr)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 011	 Training (OT)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 012	 Meeting
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 013	 Meeting (OT)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 014	 Travel - NP
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 015	 Travel - NP (OT)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 016	 Customer Visit
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 017	 Administration
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 018	 Branch Maintenance
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 019	 Total NP (Normal Hr)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 020	 Total NP (OT)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 022	 Productivity %
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 023	 Service Utilization%
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 100	 Sick (Hr)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 101	 Accident (Hr)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 102	 Rest (Hr)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 103	 Lieu Day (Hr)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 104	 Holiday / Leave (Hr)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 105	 Public Holiday (Hr)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 106	 Total NP (NormHr+OT)
100	 CN11	 TIME REPORT	 001	 Labour Norm Site
100	 CN11	 TIME REPORT	 002	 Labour Norm SiteOT
100	 CN11	 TIME REPORT	 003	 Labour Normal Travel
100	 CN11	 TIME REPORT	 004	 Labour NormTravelOT
100	 CN11	 TIME REPORT	 005	 Labour Normal WS
100	 CN11	 TIME REPORT	 006	 Labour Normal WS OT
100	 CN11	 TIME REPORT	 007	 Labour Travel
100	 CN11	 TIME REPORT	 008	 Labour Travel OT
100	 CN11	 TIME REPORT	 009	 Travel Allowance
100	 CN11	 TIME REPORT	 010	 Overnight Stay
100	 CN11	 TIME REPORT	 011	 TechnicalSpecialist
100	 CN11	 TIME REPORT	 012	 TechniclSpecialistOT
100	 CN11	 TIME REPORT	 013	 Process&MeasSpeci
100	 CN11	 TIME REPORT	 014	 Process&MeasSpeciOT
100	 CN11	 TIME REPORT	 015	 Distance [km]
100	 CN11	 TIME REPORT	 016	 Additional exp [LCU]
100	 CN11	 TIME REPORT	 017	 Travel Allowa [LCU]
100	 CN11	 TIME REPORT	 018	 Standby time
100	 CN11	 TIME REPORT	 019	 Standby time OT
100	 CN11	 TIME REPORT CONSOLIDATED	 001	 Labour Norm Site
100	 CN11	 TIME REPORT CONSOLIDATED	 002	 Labour Norm SiteOT
100	 CN11	 TIME REPORT CONSOLIDATED	 003	 Labour Normal Travel
100	 CN11	 TIME REPORT CONSOLIDATED	 004	 Labour NormTravelOT
100	 CN11	 TIME REPORT CONSOLIDATED	 005	 Labour Normal WS
100	 CN11	 TIME REPORT CONSOLIDATED	 006	 Labour Normal WS OT
100	 CN11	 TIME REPORT CONSOLIDATED	 007	 Labour Travel
100	 CN11	 TIME REPORT CONSOLIDATED	 008	 Labour Travel OT
100	 CN11	 TIME REPORT CONSOLIDATED	 009	 Travel Allowance
100	 CN11	 TIME REPORT CONSOLIDATED	 010	 Overnight Stay
100	 CN11	 TIME REPORT CONSOLIDATED	 011	 TechnicalSpecialist
100	 CN11	 TIME REPORT CONSOLIDATED	 012	 TechniclSpecialistOT
100	 CN11	 TIME REPORT CONSOLIDATED	 013	 Process&MeasSpeci
100	 CN11	 TIME REPORT CONSOLIDATED	 014	 Process&MeasSpeciOT
100	 CN11	 TIME REPORT CONSOLIDATED	 015	 Distance [km]
100	 CN11	 TIME REPORT CONSOLIDATED	 016	 Additional exp [LCU]
100	 CN11	 TIME REPORT CONSOLIDATED	 017	 Travel Allowa [LCU]
100	 CN11	 TIME REPORT CONSOLIDATED	 018	 Standby time
100	 CN11	 TIME REPORT CONSOLIDATED	 019	 Standby time OT
100	 CN20	 GM周末加班210％	 001	 Labour Site
100	 CN20	 GM周末加班210％	 002	 Labour Travel
