AM: HR report formulas


MANDT	 WERKS	 ZREPTP	 ZCOLNR	 ZFRM
100	 CN01	 PRODUCTIVE HOURS	 021	 C001+C005
100	 CN01	 PRODUCTIVE HOURS	 022	 C007+C011
100	 CN01	 PRODUCTIVE HOURS	 023	 C005+C011
100	 CN01	 PRODUCTIVE HOURS	 024	 C008+C009+C010
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 021	 C001+C005
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 022	 C007+C011
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 023	 C005+C011
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 024	 C013+C005+C011
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 025	 C016-C100
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 026	 IF (C016-C100)<0 AND C016<>0 THEN 1+(C016-C100)/C016*100
100	 CN01	 PRODUCTIVE HOURS - OVERVIEW	 027	 IF (C016-C100)>0 AND C100<>0 THEN C016/C100*100
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 009	 C007+C008
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 022	 IF (C007+C008+C106)>0 THEN (C007+C008)*100/(C007+C008+C106)
100	 CN01	 PRODUCTIVITY AND UTILIZATION	 023	 IF (C007+C019)>0 THEN (C007+C008+C106)*100/(C007+C019)
100	 CN61	 NON-PRODUCTIVE AND ABSENCE	 021	 C020/8
100	 CN61	 NON-PRODUCTIVE AND ABSENCE	 023	 C100/8
100	 CN61	 NON-PRODUCTIVE AND ABSENCE	 025	 C101/8
100	 CN61	 NON-PRODUCTIVE AND ABSENCE	 027	 C102/8
100	 CN61	 NON-PRODUCTIVE AND ABSENCE	 028	 C013+C014
100	 CN61	 NON-PRODUCTIVE AND ABSENCE	 029	 C016/8
100	 CN61	 NON-PRODUCTIVE AND ABSENCE	 030	 C018/8
100	 CN61	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 021	 C020/8
100	 CN61	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 023	 C100/8
100	 CN61	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 025	 C101/8
100	 CN61	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 027	 C102/8
100	 CN61	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 028	 C013+C014
100	 CN61	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 029	 C016/8
100	 CN61	 NON-PRODUCTIVE AND ABSENCE - OVERVIEW	 030	 C018/8
100	 CN61	 PRODUCTIVE HOURS	 021	 C001+C005
100	 CN61	 PRODUCTIVE HOURS	 022	 C007+C011
100	 CN61	 PRODUCTIVE HOURS	 023	 C005+C011
100	 CN61	 PRODUCTIVE HOURS	 024	 C008+C009+C010
100	 CN61	 PRODUCTIVE HOURS - OVERVIEW	 021	 C001+C005
100	 CN61	 PRODUCTIVE HOURS - OVERVIEW	 022	 C007+C011
100	 CN61	 PRODUCTIVE HOURS - OVERVIEW	 023	 C005+C011
100	 CN61	 PRODUCTIVE HOURS - OVERVIEW	 024	 C013+C005+C011
100	 CN61	 PRODUCTIVE HOURS - OVERVIEW	 025	 C016-C100
100	 CN61	 PRODUCTIVE HOURS - OVERVIEW	 026	 IF (C016-C100)<0 AND C016<>0 THEN 1+(C016-C100)/C016*100
100	 CN61	 PRODUCTIVE HOURS - OVERVIEW	 027	 IF (C016-C100)>0 AND C100<>0 THEN C016/C100*100
100	 CN61	 PRODUCTIVITY AND UTILIZATION	 009	 C007+C008
100	 CN61	 PRODUCTIVITY AND UTILIZATION	 022	 IF (C007+C008+C106)>0 THEN (C007+C008)*100/(C007+C008+C106)
100	 CN61	 PRODUCTIVITY AND UTILIZATION	 023	 IF (C007+C019)>0 THEN (C007+C008+C106)*100/(C007+C019)
100	 ESAA	 LIQUIDACION GASTOS	 021	 C001*(21+(54/100))
100	 ESAA	 LIQUIDACION GASTOS	 022	 C005*103/1000
100	 ESAA	 LIQUIDACION GASTOS	 023	 C006*290/1000
100	 ESAA	 LIQUIDACION GASTOS	 024	 C006*090/1000
100	 ESAA	 LIQUIDACION GASTOS	 025	 C011*(4+(74/100))
100	 ESAA	 LIQUIDACION GASTOS	 026	 C021+C002+C003+C004+C022+C023+C025
100	 NLAA	 HR REPORT	 021	 C009-C010
100	 NNAA	 TIMER	 021	 C001+C002+C003+C004+C005+C006+C007+C008+C009+C010+C011+C012+C013+C014+C015+C016
100	 NNAA	 TIMER	 022	 C001+C004+C007+C010+C013
100	 NNAA	 TIMER	 023	 C002+C005+C008+C011+C014
100	 NNAA	 TIMER	 024	 C003+C006+C009+C012+C015
100	 NNAA	 TIMER	 025	 C001+C002+C003
100	 NNAA	 TIMER	 026	 C007+C008+C009
100	 PL01	 LEGAL TIME MANAGEMENT	 021	 C011+C012+C013+C014+C015+C016+C017+C018+C019
100	 PL01	 PROD ON FSE LEVEL	 021	 IF C017>0 THEN C016*100/C017
100	 PL02	 LEGAL TIME MANAGEMENT	 021	 C011+C012+C013+C014+C015+C016+C017+C018+C019
100	 PL02	 PROD ON FSE LEVEL	 021	 IF C017>0 THEN C016*100/C017
100	 PL07	 LEGAL TIME MANAGEMENT	 021	 C011+C012+C013+C014+C015+C016+C017+C018+C019
100	 PL07	 PROD ON FSE LEVEL	 021	 IF C017>0 THEN C016*100/C017
100	 PL09	 LEGAL TIME MANAGEMENT	 021	 C011+C012+C013+C014+C015+C016+C017+C018+C019
100	 PL09	 PROD ON FSE LEVEL	 021	 IF C017>0 THEN C016*100/C017
100	 PL10	 LEGAL TIME MANAGEMENT	 021	 C011+C012+C013+C014+C015+C016+C017+C018+C019
100	 PL10	 PROD ON FSE LEVEL	 021	 IF C017>0 THEN C016*100/C017
100	 PL16	 LEGAL TIME MANAGEMENT	 021	 C011+C012+C013+C014+C015+C016+C017+C018+C019
100	 PL16	 PROD ON FSE LEVEL	 021	 IF C017>0 THEN C016*100/C017
100	 RU50	 HR REPORT CMT RUSSIA	 008	 C001+C002+C003+C004+C005+C006+C007
100	 RU50	 HR REPORT CMT RUSSIA	 016	 C008+C009+C010+C011+C012+C013+C014+C015
100	 RU50	 HR REPORT CMT RUSSIA	 017	 C008+C016
100	 RU50	 HR REPORT CMT RUSSIA	 018	 IF C018>0 THEN C008*100/C018
100	 RU61	 HR REPORT CMT RUSSIA	 008	 C001+C002+C003+C004+C005+C006+C007
100	 RU61	 HR REPORT CMT RUSSIA	 016	 C008+C009+C010+C011+C012+C013+C014+C015
100	 RU61	 HR REPORT CMT RUSSIA	 017	 C008+C016
100	 RU61	 HR REPORT CMT RUSSIA	 018	 IF C018>0 THEN C008*100/C018
