DBI: Format Detail Structure


FORMAT_NO	 COLUMN_NO	 COLUMN_NME	 MAX_LENGTH	 SOURCE_TYP	 SOURCE_VAL	 DEFAULT_V
03	 0200	 PAYMENT DETAILS LINE 1	 0035	 FUNCTION	 FN_PDL1	
03	 0210	 PAYMENT DETAILS LINE 2	 0035	 FUNCTION	 FN_PDL2	
03	 0220	 PAYMENT DETAILS LINE 3	 0035	 FUNCTION	 FN_PDL3	
03	 0230	 PAYMENT DETAILS LINE 4	 0035	 FUNCTION	 FN_PDL4	
03	 0240	 SPECIAL INSTRUCTIONS LINE1	 0035	 TABLE	 BSEG-SGTXT+0(35)	
03	 0250	 SPECIAL INSTRUCTIONS LINE2	 0035	 TABLE	 BSEG-SGTXT+35(15)	
03	 0260	 BENEFICIARY CODE	 0012	 FUNCTION	 FN_BEN	
03	 0270	 BENEFICIARY NAME	 0035	 TABLE	 BSEC-NAME1,,BSEC-NAME2	 ADRC-NAME1,,ADRC-NAME2
03	 0280	 BENEFICIARY ACCOUNT	 0035	 TABLE	 REGUH-ZBNKN	
03	 0290	 BANEFICIARY ACCOUNT CCY	 0003	 	 	
03	 0300	 BENEFICIARY ACCOUNT TYPE	 0035	 	 	
03	 0310	 BENEFICIARY ADDRESS LINE1	 0035	 	 	
03	 0320	 BENEFICIARY ADDRESS LINE2	 0035	 	 	
03	 0330	 BENEFICIARY ADDRESS LINE3	 0035	 	 	
03	 0340	 BENEFICIARY COUNTRY OF RESIDENCE	 0002	 TABLE	 REGUH-ZLAND	
03	 0350	 BENEFICIARY BRANCH CODE	 0010	 	 	
03	 0360	 BENEFICIARY BRANCH NAME	 0035	 TABLE	 REGUH-BNKN1	
03	 0370	 BENEFICIARY BANK NAME	 0035	 TABLE	 BNKA-BANKA	
03	 0380	 BENEFICIARY BANK SWIFT	 0011	 	 	
03	 0390	 BENEFICIARY BANK CLEARING CODE	 0017	 FUNCTION	 FN_BBCC_NG	
03	 0400	 BENEFICIARY BANK CLEARING CODE T	 0008	 FUNCTION	 FN_BBCCT_NG	
03	 0410	 BENEFICIARY BANK ADDRESS LINE 1	 0035	 TABLE	 BNKA-BRNCH	
03	 0420	 BENEFICIARY BANK ADDRESS LINE 2	 0035	 TABLE	 BNKA-STRAS	
03	 0430	 BENEFICIARY BANK ADDRESS LINE 3	 0035	 TABLE	 BNKA-PROVZ,,BNKA-ORT01	
03	 0440	 BENEFICIARY BANK COUNTRY	 0002	 TABLE	 REGUH-ZBNKS	
03	 0450	 INTERMEDIARY BANK NAME	 0035	 TABLE	 BNKAI-BANKA	
03	 0460	 INTERMEDIARY BANK ADDRESS LINE 1	 0035	 TABLE	 BNKAI-BRNCH	
03	 0470	 INTERMEDIARY BANK ADDRESS LINE 2	 0035	 TABLE	 BNKAI-STRAS	
03	 0480	 INTERMEDIARY BANK ADDRESS LINE 3	 0035	 TABLE	 BNKAI-PROVZ,,BNKAI-ORT01	
03	 0490	 INTERMEDIARY BANK COUNTRY	 0002	 TABLE	 REGUH-BNKS1	
03	 0500	 INTERMEDIARY BANK SWIFT	 0011	 TABLE	 BNKAI-SWIFT	
03	 0510	 INTERMEDIARY BANK CLEARING CODE	 0017	 FUNCTION	 FN_IBCC_NG	
03	 0520	 INTERMEDIARY BANK CLEARING CTYPE	 0008	 FUNCTION	 FN_IBCCT_NG	
03	 0530	 SENDER INFO/SPECIAL INSTR 3	 0035	 	 	
03	 0540	 RECEIVER INFO/SPECIAL INSTR 4	 0035	 	 	
03	 0550	 ORDER INFO/SPECIAL INSTR 5	 0035	 	 	
03	 0560	 DEBTOR REFERENCE/SPECIAL INSTR 6	 0035	 	 	
03	 0570	 ORDER PARTY REFERENCE(CUST REF)	 0070	 TABLE	 REGUH-VBLNR	
03	 0580	 MAILING NAME	 0070	 TABLE	 LFB1-ZSABE	
03	 0590	 FAX NUMBER	 0070	 FUNCTION	 FN_FAX	
03	 0600	 REMARKS/YOUR/SENDER REFERENCE	 0070	 	 	
03	 0610	 PARTICULARS/MISC/RECEIVER REF	 0105	 	 	
03	 0620	 ORDER DATE	 0008	 	 	
03	 0630	 TRANSACTION TYPE	 0003	 	 	
03	 0640	 PAYMENT ID	 0025	 TABLE	 REGUH-ZBUKR,BKPF-GJAHR,REGUH-VBLNR	
03	 0650	 NO OF WTX RECORD	 0010	 	 	
03	 0660	 EXTENDED PAYMENT DETAILS	 0000	 FUNCTION	 INSERT_DETAILS	
03	 0670	 RESERVE	 0100	 	 	
04	 0010	 CREDIT/DEBIT ACCOUNT	 0035	 TABLE	 REGUH-UBKNT	
04	 0020	 CREDIT/DEBIT ACCOUNT CURRENCY	 0003	 TABLE	 T012K-WAERS	
04	 0030	 CHARGE ACCOUNT	 0035	 TABLE	 T012D-DTGBK	 REGUH-UBKNT
04	 0040	 CHARGE ACCOUNT CURRENCY	 0003	 TABLE	 T012D-DTGIS	 T012K-WAERS
04	 0050	 PAYMENT MODE	 0003	 	 DD	
04	 0060	 INSTRUCTION FOR CHARGES	 0003	 TABLE	 T042I-GEBKZ	 15
04	 0070	 URGENT/SINGLE PAYMENT FLAG	 0001	 	 Y	
04	 0080	 SINGLE DEBIT FLAG	 0001	 	 	
04	 0090	 TRANSACTION CURRENCY	 0003	 TABLE	 REGUH-WAERS	
04	 0100	 TRANSACTION DATE	 0008	 TABLE	 REGUH-VALUT+6(2),REGUH-VALUT+4(2),REGUH-VALUT+0(4)	
04	 0110	 TRANSACTION DATE TYPE	 0002	 	 	
04	 0120	 BULK REFERENCE/ORDERER REFERENCE	 0035	 TABLE	 REGUH-VBLNR	
04	 0130	 BUSINESS CATEGORY	 0003	 	 	
04	 0140	 BUSINESS DESCRIPTIONS	 0035	 	 	
04	 0150	 SCHEDULE DATE	 0008	 	 	
04	 0160	 RESTRICTED PAYMENT FLAG	 0001	 FUNCTION	 FN_RPF	
04	 0170	 RESERVE	 0100	 	 	
04	 0180	 TRANSACTION AMOUNT	 0015	 FUNCTION	 FN_TA	
04	 0190	 PAYMENT INSTRUCTIONS	 0008	 	 	
04	 0200	 PAYMENT DETAILS LINE 1	 0035	 	 	
04	 0210	 PAYMENT DETAILS LINE 2	 0035	 TABLE	 BSEC-NAME1	 ADRC-NAME1
04	 0220	 PAYMENT DETAILS LINE 3	 0035	 TABLE	 BSEC-NAME2	 ADRC-NAME2
04	 0230	 PAYMENT DETAILS LINE 4	 0035	 	 	
04	 0240	 SPECIAL INSTRUCTIONS LINE1	 0035	 TABLE	 T015W-DTZUS	
04	 0250	 SPECIAL INSTRUCTIONS LINE2	 0035	 	 	
04	 0260	 BENEFICIARY CODE	 0012	 FUNCTION	 FN_BEN	
04	 0270	 BENEFICIARY NAME	 0140	 TABLE	 BSEC-NAME1,,BSEC-NAME2	 ADRC-NAME1,,ADRC-NAME2
04	 0280	 BENEFICIARY ACCOUNT	 0035	 TABLE	 REGUH-ZBNKN	
04	 0290	 BANEFICIARY ACCOUNT CCY	 0003	 	 	
04	 0300	 BENEFICIARY ACCOUNT TYPE	 0035	 	 	
04	 0310	 BENEFICIARY ADDRESS LINE1	 0035	 	 	
04	 0320	 BENEFICIARY ADDRESS LINE2	 0035	 	 	
04	 0330	 BENEFICIARY ADDRESS LINE3	 0035	 	 	
04	 0340	 BENEFICIARY COUNTRY OF RESIDENCE	 0002	 TABLE	 REGUH-ZLAND	
04	 0350	 BENEFICIARY BRANCH CODE	 0010	 	 	
04	 0360	 BENEFICIARY BRANCH NAME	 0035	 TABLE	 REGUH-BNKN1	
04	 0370	 BENEFICIARY BANK NAME	 0070	 TABLE	 BNKA-BANKA	
04	 0380	 BENEFICIARY BANK SWIFT	 0011	 	 	
04	 0390	 BENEFICIARY BANK CLEARING CODE	 0017	 	 	
04	 0400	 BENEFICIARY BANK CLEARING CODE T	 0008	 	 	
04	 0410	 BENEFICIARY BANK ADDRESS LINE 1	 0035	 	 	
04	 0420	 BENEFICIARY BANK ADDRESS LINE 2	 0035	 	 	
04	 0430	 BENEFICIARY BANK ADDRESS LINE 3	 0035	 	 	
04	 0440	 BENEFICIARY BANK COUNTRY	 0002	 	 	
04	 0450	 INTERMEDIARY BANK NAME	 0035	 	 	
04	 0460	 INTERMEDIARY BANK ADDRESS LINE 1	 0035	 	 	
04	 0470	 INTERMEDIARY BANK ADDRESS LINE 2	 0035	 	 	
04	 0480	 INTERMEDIARY BANK ADDRESS LINE 3	 0035	 	 	
04	 0490	 INTERMEDIARY BANK COUNTRY	 0002	 	 	
04	 0500	 INTERMEDIARY BANK SWIFT	 0011	 	 	
04	 0510	 INTERMEDIARY BANK CLEARING CODE	 0017	 	 	
04	 0520	 INTERMEDIARY BANK CLEARING CTYPE	 0008	 	 	
04	 0530	 SENDER INFO/SPECIAL INSTR 3	 0035	 TABLE	 BSEG-SGTXT+0(35)	
04	 0540	 RECEIVER INFO/SPECIAL INSTR 4	 0035	 FUNCTION	 FN_BENE_ALERT	 BSEG-SGTXT+35(15)
04	 0550	 ORDER INFO/SPECIAL INSTR 5	 0035	 	 	
04	 0560	 DEBTOR REFERENCE/SPECIAL INSTR 6	 0035	 	 	
04	 0570	 ORDER PARTY REFERENCE(CUST REF)	 0070	 TABLE	 REGUH-VBLNR	
04	 0580	 MAILING NAME	 0070	 TABLE	 LFB1-ZSABE	
04	 0590	 FAX NUMBER	 0070	 FUNCTION	 FN_FAX	
04	 0600	 REMARKS/YOUR/SENDER REFERENCE	 0070	 	 	
04	 0610	 PARTICULARS/MISC/RECEIVER REF	 0105	 	 	
04	 0620	 ORDER DATE	 0008	 	 	
04	 0630	 TRANSACTION TYPE	 0003	 	 	
04	 0640	 PAYMENT ID	 0025	 TABLE	 REGUH-ZBUKR,BKPF-GJAHR,REGUH-VBLNR	
04	 0650	 NO OF WTX RECORD	 0010	 	 	
04	 0660	 EXTENDED PAYMENT DETAILS	 0000	 FUNCTION	 INSERT_DETAILS	
04	 0670	 RESERVE	 0100	 	 	
05	 0010	 CREDIT/DEBIT ACCOUNT	 0035	 TABLE	 REGUH-UBKNT	
05	 0020	 CREDIT/DEBIT ACCOUNT CURRENCY	 0003	 TABLE	 T012K-WAERS	
05	 0030	 CHARGE ACCOUNT	 0035	 TABLE	 T012D-DTGBK	 REGUH-UBKNT
05	 0040	 CHARGE ACCOUNT CURRENCY	 0003	 TABLE	 T012D-DTGIS	 T012K-WAERS
05	 0050	 PAYMENT MODE	 0003	 	 ABQ	
05	 0060	 INSTRUCTION FOR CHARGES	 0003	 TABLE	 T042I-GEBKZ	 15
05	 0070	 URGENT/SINGLE PAYMENT FLAG	 0001	 	 N	
05	 0080	 SINGLE DEBIT FLAG	 0001	 	 	
05	 0090	 TRANSACTION CURRENCY	 0003	 TABLE	 REGUH-WAERS	
05	 0100	 TRANSACTION DATE	 0008	 TABLE	 REGUH-VALUT+6(2),REGUH-VALUT+4(2),REGUH-VALUT+0(4)	
05	 0110	 TRANSACTION DATE TYPE	 0002	 	 	
05	 0120	 BULK REFERENCE/ORDERER REFERENCE	 0035	 TABLE	 REGUH-LAUFI,REGUH-LAUFD	 OUT,SY-DATUM,SY-UZEIT
05	 0130	 BUSINESS CATEGORY	 0003	 	 	
05	 0140	 BUSINESS DESCRIPTIONS	 0035	 	 	
05	 0150	 SCHEDULE DATE	 0008	 	 	
05	 0160	 RESTRICTED PAYMENT FLAG	 0001	 FUNCTION	 FN_RPF	
05	 0170	 RESERVE	 0100	 	 	
05	 0180	 TRANSACTION AMOUNT	 0015	 FUNCTION	 FN_TA	
05	 0190	 PAYMENT INSTRUCTIONS	 0008	 TABLE	 REGUH-DTAWS	 02
05	 0200	 PAYMENT DETAILS LINE 1	 0035	 TABLE	 YHFAPPLC-YHADDR1	
05	 0210	 PAYMENT DETAILS LINE 2	 0035	 TABLE	 YHFAPPLC-YHADDR2	
05	 0220	 PAYMENT DETAILS LINE 3	 0035	 TABLE	 YHFAPPLC-YHADDR3	
05	 0230	 PAYMENT DETAILS LINE 4	 0035	 TABLE	 YHFAPPLC-YHADDR4	
05	 0240	 SPECIAL INSTRUCTIONS LINE1	 0035	 	 	
05	 0250	 SPECIAL INSTRUCTIONS LINE2	 0035	 	 	
05	 0260	 BENEFICIARY CODE	 0012	 FUNCTION	 FN_BEN	
05	 0270	 BENEFICIARY NAME	 0140	 TABLE	 BSEC-NAME1,,BSEC-NAME2	 ADRC-NAME1,,ADRC-NAME2
05	 0280	 BENEFICIARY ACCOUNT	 0035	 TABLE	 REGUH-ZBNKN	
05	 0290	 BANEFICIARY ACCOUNT CCY	 0003	 	 	
05	 0300	 BENEFICIARY ACCOUNT TYPE	 0035	 	 	
05	 0310	 BENEFICIARY ADDRESS LINE1	 0035	 	 	
05	 0320	 BENEFICIARY ADDRESS LINE2	 0035	 	 	
05	 0330	 BENEFICIARY ADDRESS LINE3	 0035	 	 	
05	 0340	 BENEFICIARY COUNTRY OF RESIDENCE	 0002	 	 	
05	 0350	 BENEFICIARY BRANCH CODE	 0010	 	 	
05	 0360	 BENEFICIARY BRANCH NAME	 0035	 TABLE	 REGUH-BNKN1	
05	 0370	 BENEFICIARY BANK NAME	 0070	 TABLE	 YHFAPPLC-YHNAME	
05	 0380	 BENEFICIARY BANK SWIFT	 0011	 	 	
05	 0390	 BENEFICIARY BANK CLEARING CODE	 0017	 	 	
05	 0400	 BENEFICIARY BANK CLEARING CODE T	 0008	 	 	
05	 0410	 BENEFICIARY BANK ADDRESS LINE 1	 0035	 	 	
05	 0420	 BENEFICIARY BANK ADDRESS LINE 2	 0035	 	 	
05	 0430	 BENEFICIARY BANK ADDRESS LINE 3	 0035	 	 	
05	 0440	 BENEFICIARY BANK COUNTRY	 0002	 	 	
05	 0450	 INTERMEDIARY BANK NAME	 0035	 	 	
05	 0460	 INTERMEDIARY BANK ADDRESS LINE 1	 0035	 	 	
05	 0470	 INTERMEDIARY BANK ADDRESS LINE 2	 0035	 	 	
05	 0480	 INTERMEDIARY BANK ADDRESS LINE 3	 0035	 	 	
05	 0490	 INTERMEDIARY BANK COUNTRY	 0002	 	 	
05	 0500	 INTERMEDIARY BANK SWIFT	 0011	 	 	
05	 0510	 INTERMEDIARY BANK CLEARING CODE	 0017	 	 	
05	 0520	 INTERMEDIARY BANK CLEARING CTYPE	 0008	 	 	
05	 0530	 SENDER INFO/SPECIAL INSTR 3	 0035	 	 	
05	 0540	 RECEIVER INFO/SPECIAL INSTR 4	 0035	 	 	
05	 0550	 ORDER INFO/SPECIAL INSTR 5	 0070	 TABLE	 LFB1-INTAD	
05	 0560	 DEBTOR REFERENCE/SPECIAL INSTR 6	 0070	 	 	
05	 0570	 ORDER PARTY REFERENCE(CUST REF)	 0035	 TABLE	 REGUH-VBLNR	
05	 0580	 MAILING NAME	 0070	 TABLE	 LFB1-ZSABE	
05	 0590	 FAX NUMBER	 0035	 FUNCTION	 FN_FAX	
05	 0600	 REMARKS/YOUR/SENDER REFERENCE	 0035	 FUNCTION	 FN_PDL1	
