FSAU: Maintain Critical Field information


MANDT	 ZMODULE	 SUBMOD	 TABNAME	 FIELDNAME	 VALUE	 BLANK	 NODISP	 SEQUENCE
100	 CS	 ORDERS	 AFIH	 KUNUM	 	 	 	 000
100	 CS	 ORDERS	 AUFK	 AUART	 	 	 	 000
100	 CS	 ORDERS	 AUFK	 BEMOT	 	 	 	 000
100	 CS	 ORDERS	 AUFK	 BUKRS	 	 	 	 000
100	 CS	 ORDERS	 AUFK	 KDAUF	 	 	 	 000
100	 CS	 ORDERS	 AUFK	 KOKRS	 	 	 	 000
100	 CS	 ORDERS	 AUFK	 VAPLZ	 	 	 	 000
100	 CS	 ORDERS	 AUFK	 WERKS	 	 	 	 000
100	 CS	 ORDERS	 PMSDO	 FAKTF	 	 	 	 000
100	 CS	 ORDERS	 PMSDO	 FFPRF	 	 	 	 000
100	 CS	 ORDERS	 PMSDO	 SPART	 	 	 	 000
100	 CS	 ORDERS	 PMSDO	 VKBUR	 	 	 	 000
100	 CS	 ORDERS	 PMSDO	 VKGRP	 	 	 	 000
100	 CS	 ORDERS	 PMSDO	 VKORG	 	 	 	 000
100	 CS	 ORDERS	 PMSDO	 VTWEG	 	 	 	 000
100	 CS	 PARTNER_FLOC	 IFLOT	 ILOAN	 	 	 	 000
100	 CS	 PARTNER_FLOC	 IFLOT	 INGRP	 	 	 	 000
100	 CS	 PARTNER_FLOC	 IFLOT	 IWERK	 	 	 	 000
100	 CS	 PARTNER_FLOC	 IFLOT	 LGWID	 	 	 	 000
100	 CS	 PARTNER_FLOC	 IFLOT	 SUBMT	 	 	 	 000
100	 CS	 PARTNER_FLOC	 IFLOT	 TPLMA	 	 	 	 000
100	 CS	 PARTNER_FLOC	 IFLOT	 TPLNR	 	 	 	 000
100	 CS	 PARTNER_FLOC	 IHPA	 KZLOESCH	 	 X	 	 000
100	 CS	 PARTNER_FLOC	 IHPA	 PARNR	 	 	 	 000
100	 CS	 PARTNER_FLOC	 IHPA	 PARVW	 AG	 	 X	 000
100	 CS	 SERVICE_CONTRACTS	 VBAK	 AUART	 	 	 	 000
100	 CS	 SERVICE_CONTRACTS	 VBAK	 KALSM	 	 	 	 000
100	 CS	 SERVICE_CONTRACTS	 VBAK	 SPART	 	 	 	 000
100	 CS	 SERVICE_CONTRACTS	 VBAK	 VBTYP	 G	 	 	 000
100	 CS	 SERVICE_CONTRACTS	 VBAK	 VKBUR	 	 	 	 000
100	 CS	 SERVICE_CONTRACTS	 VBAK	 VKGRP	 	 	 	 000
100	 CS	 SERVICE_CONTRACTS	 VBAK	 VKORG	 	 	 	 000
100	 CS	 SERVICE_CONTRACTS	 VBAK	 VTWEG	 	 	 	 000
100	 CS	 SERVICE_CONTRACTS	 VEDA	 VBEGDAT	 	 	 	 000
100	 CS	 SERVICE_CONTRACTS	 VEDA	 VENDDAT	 	 	 	 000
100	 CS	 SERVICE_INQUIRY	 VBAK	 ANGDT	 	 	 	 000
100	 CS	 SERVICE_INQUIRY	 VBAK	 AUART	 	 	 	 000
100	 CS	 SERVICE_INQUIRY	 VBAK	 BNDDT	 	 	 	 000
100	 CS	 SERVICE_INQUIRY	 VBAK	 KALSM	 	 	 	 000
100	 CS	 SERVICE_INQUIRY	 VBAK	 SPART	 	 	 	 000
100	 CS	 SERVICE_INQUIRY	 VBAK	 VBTYP	 A	 	 	 000
100	 CS	 SERVICE_INQUIRY	 VBAK	 VKBUR	 	 	 	 000
100	 CS	 SERVICE_INQUIRY	 VBAK	 VKGRP	 	 	 	 000
100	 CS	 SERVICE_INQUIRY	 VBAK	 VKORG	 	 	 	 000
100	 CS	 SERVICE_INQUIRY	 VBAK	 VTWEG	 	 	 	 000
100	 CS	 SERVICE_PRODUCTS	 MARA	 MTART	 ZDIE	 	 	 000
100	 CS	 SERVICE_PRODUCTS	 MARA	 PRDHA	 	 	 	 000
100	 CS	 SERVICE_PRODUCTS	 VBAK	 AUART	 	 	 	 000
100	 CS	 SERVICE_PRODUCTS	 VBAK	 SPART	 	 	 	 000
100	 CS	 SERVICE_PRODUCTS	 VBAK	 VKORG	 	 	 	 000
100	 CS	 SERVICE_PRODUCTS	 VBAK	 VTWEG	 	 	 	 000
100	 CS	 SERVICE_PRODUCTS	 VBAP	 MATNR	 	 	 	 000
100	 CS	 SERVICE_QUOTATION	 VBAK	 ANGDT	 	 	 	 000
100	 CS	 SERVICE_QUOTATION	 VBAK	 AUART	 	 	 	 000
100	 CS	 SERVICE_QUOTATION	 VBAK	 BNDDT	 	 	 	 000
100	 CS	 SERVICE_QUOTATION	 VBAK	 KALSM	 	 	 	 000
100	 CS	 SERVICE_QUOTATION	 VBAK	 SPART	 	 	 	 000
100	 CS	 SERVICE_QUOTATION	 VBAK	 VBTYP	 B	 	 	 000
100	 CS	 SERVICE_QUOTATION	 VBAK	 VKBUR	 	 	 	 000
100	 CS	 SERVICE_QUOTATION	 VBAK	 VKGRP	 	 	 	 000
100	 CS	 SERVICE_QUOTATION	 VBAK	 VKORG	 	 	 	 000
100	 CS	 SERVICE_QUOTATION	 VBAK	 VTWEG	 	 	 	 000
100	 CS	 SERVICE_SALES_ORDER	 VBAK	 AUART	 	 	 	 000
100	 CS	 SERVICE_SALES_ORDER	 VBAK	 KALSM	 	 	 	 000
100	 CS	 SERVICE_SALES_ORDER	 VBAK	 SPART	 	 	 	 000
100	 CS	 SERVICE_SALES_ORDER	 VBAK	 VBTYP	 C	 	 	 000
100	 CS	 SERVICE_SALES_ORDER	 VBAK	 VKBUR	 	 	 	 000
100	 CS	 SERVICE_SALES_ORDER	 VBAK	 VKGRP	 	 	 	 000
100	 CS	 SERVICE_SALES_ORDER	 VBAK	 VKORG	 	 	 	 000
100	 CS	 SERVICE_SALES_ORDER	 VBAK	 VTWEG	 	 	 	 000
100	 CS	 TASK_LIST	 MAPL	 MATNR	 	 	 	 000
100	 CS	 TASK_LIST	 PLKO	 IWERK	 	 	 	 000
100	 CS	 TASK_LIST	 PLKO	 LOEKZ	 	 	 	 000
100	 CS	 TASK_LIST	 PLKO	 PLNTY	 	 	 	 000
100	 CS	 TASK_LIST	 PLPO	 BUKRS	 	 	 	 000
100	 FI	 AA AC MSTR	 ANKA	 AEDAT	 	 	 	 004
100	 FI	 AA AC MSTR	 ANKA	 ANLKL	 	 	 	 001
100	 FI	 AA AC MSTR	 ANKA	 ERNAM	 	 	 	 003
100	 FI	 AA AC MSTR	 ANKA	 GSBER	 	 	 	 009
100	 FI	 AA AC MSTR	 ANKA	 INVSL	 	 	 	 014
100	 FI	 AA AC MSTR	 ANKA	 KOSTL	 	 	 	 011
100	 FI	 AA AC MSTR	 ANKA	 KTOGR	 	 	 	 008
100	 FI	 AA AC MSTR	 ANKA	 LAND1	 	 	 	 013
100	 FI	 AA AC MSTR	 ANKA	 LEAFI	 	 	 	 017
100	 FI	 AA AC MSTR	 ANKA	 LEART	 	 	 	 016
100	 FI	 AA AC MSTR	 ANKA	 LEJAR	 	 	 	 018
100	 FI	 AA AC MSTR	 ANKA	 LEPER	 	 	 	 019
100	 FI	 AA AC MSTR	 ANKA	 LRYTH	 	 	 	 020
100	 FI	 AA AC MSTR	 ANKA	 LSTAR	 	 	 	 012
100	 FI	 AA AC MSTR	 ANKA	 MEINS	 	 	 	 015
100	 FI	 AA AC MSTR	 ANKA	 WERKS	 	 	 	 010
100	 FI	 AA AC MSTR	 ANKA	 XANLGR	 	 	 	 021
100	 FI	 AA AC MSTR	 ANKA	 XLOEV	 	 	 	 005
100	 FI	 AA AC MSTR	 ANKA	 XOPVW	 	 	 	 007
100	 FI	 AA AC MSTR	 ANKA	 XSPEA	 	 	 	 006
100	 FI	 AA AC MSTR	 ANKT	 TXK20	 	 	 	 002
100	 FI	 AA DOC	 ANEP	 ANBTR	 	 	 	 011
100	 FI	 AA DOC	 ANEP	 ANLN1	 	 	 	 003
100	 FI	 AA DOC	 ANEP	 ANLN2	 	 	 	 004
100	 FI	 AA DOC	 ANEP	 BELNR	 	 	 	 007
100	 FI	 AA DOC	 ANEP	 BUKRS	 	 	 	 002
100	 FI	 AA DOC	 ANEP	 BUZEI	 	 	 	 008
100	 FI	 AA DOC	 ANEP	 BWASL	 	 	 	 010
100	 FI	 AA DOC	 ANEP	 BZDAT	 	 	 	 009
100	 FI	 AA DOC	 ANEP	 GJAHR	 	 	 	 005
100	 FI	 AA DOC	 ANEP	 LNRAN	 	 	 	 006
100	 FI	 AA DOC	 ANEP	 MANDT	 	 	 	 001
100	 FI	 AA MSTR	 ANLA	 AKTIV	 	 	 	 009
100	 FI	 AA MSTR	 ANLA	 ANLKL	 	 	 	 006
100	 FI	 AA MSTR	 ANLA	 ANLN1	 	 	 	 003
100	 FI	 AA MSTR	 ANLA	 ANLN2	 	 	 	 004
100	 FI	 AA MSTR	 ANLA	 BUKRS	 	 	 	 002
100	 FI	 AA MSTR	 ANLA	 DEAKT	 	 	 	 010
100	 FI	 AA MSTR	 ANLA	 KTOGR	 	 	 	 008
100	 FI	 AA MSTR	 ANLA	 LAND1	 	 	 	 011
100	 FI	 AA MSTR	 ANLA	 LEABG	 	 	 	 012
100	 FI	 AA MSTR	 ANLA	 LEART	 	 	 	 014
100	 FI	 AA MSTR	 ANLA	 LEJAR	 	 	 	 013
100	 FI	 AA MSTR	 ANLA	 MANDT	 	 	 	 001
100	 FI	 AA MSTR	 ANLA	 TXT50	 	 	 	 005
100	 FI	 AA MSTR	 ANLA	 XLOEV	 	 	 	 007
100	 FI	 ACCOUNTING ENTRIES	 BKPF	 BLART	 	 	 	 000
100	 FI	 ACCOUNTING ENTRIES	 BKPF	 BUKRS	 	 	 	 004
100	 FI	 ACCOUNTING ENTRIES	 BKPF	 GJAHR	 	 	 	 002
100	 FI	 ACCOUNTING ENTRIES	 BKPF	 WAERS	 	 	 	 005
100	 FI	 ACCOUNTING ENTRIES	 BSEG	 BSCHL	 	 	 	 010
100	 FI	 ACCOUNTING ENTRIES	 BSEG	 GSBER	 	 	 	 014
100	 FI	 ACCOUNTING ENTRIES	 BSEG	 KOART	 	 	 	 017
100	 FI	 ACCOUNTING ENTRIES	 BSEG	 KOKRS	 	 	 	 018
100	 FI	 ACCOUNTING ENTRIES	 BSEG	 MWSKZ	 	 	 	 022
100	 FI	 ACCOUNTING ENTRIES	 BSEG	 QSSKZ	 	 	 	 026
100	 FI	 ACCOUNTING ENTRIES	 BSEG	 SHKZG	 	 	 	 029
100	 FI	 ACCOUNTING ENTRIES	 BSEG	 UMSKS	 	 	 	 030
100	 FI	 AP MSTR	 LFA1	 BRSCH	 	 	 	 004
100	 FI	 AP MSTR	 LFA1	 KTOKK	 	 	 	 007
100	 FI	 AP MSTR	 LFA1	 LAND1	 	 	 	 005
100	 FI	 AP MSTR	 LFA1	 LIFNR	 	 	 	 002
100	 FI	 AP MSTR	 LFA1	 LOEVM	 	 	 	 008
100	 FI	 AP MSTR	 LFA1	 MANDT	 	 	 	 001
100	 FI	 AP MSTR	 LFA1	 NAME1	 	 	 	 003
100	 FI	 AP MSTR	 LFA1	 REGIO	 	 	 	 006
100	 FI	 AP MSTR	 LFA1	 SPERR	 	 	 	 009
100	 FI	 AR MSTR	 KNA1	 BRSCH	 	 	 	 004
100	 FI	 AR MSTR	 KNA1	 COUNC	 	 	 	 009
100	 FI	 AR MSTR	 KNA1	 KTOKD	 	 	 	 007
100	 FI	 AR MSTR	 KNA1	 KUNNR	 	 	 	 002
100	 FI	 AR MSTR	 KNA1	 LAND1	 	 	 	 005
100	 FI	 AR MSTR	 KNA1	 LOEVM	 	 	 	 008
100	 FI	 AR MSTR	 KNA1	 MANDT	 	 	 	 001
100	 FI	 AR MSTR	 KNA1	 NAME1	 	 	 	 003
100	 FI	 AR MSTR	 KNA1	 REGIO	 	 	 	 006
100	 FI	 AR MSTR	 KNA1	 STKZA	 	 	 	 010
100	 FI	 AR MSTR	 KNA1	 STKZU	 	 	 	 011
100	 FI	 AR MSTR	 KNA1	 TXJCD	 	 	 	 012
100	 FI	 BANK MSTR	 BNKA	 BANKA	 	 	 	 004
100	 FI	 BANK MSTR	 BNKA	 BANKL	 	 	 	 003
100	 FI	 BANK MSTR	 BNKA	 BANKS	 	 	 	 002
100	 FI	 BANK MSTR	 BNKA	 BNKLZ	 	 	 	 007
100	 FI	 BANK MSTR	 BNKA	 BRNCH	 	 	 	 008
100	 FI	 BANK MSTR	 BNKA	 LOEVM	 	 	 	 006
100	 FI	 BANK MSTR	 BNKA	 MANDT	 	 	 	 001
100	 FI	 BANK MSTR	 BNKA	 PROVZ	 	 	 	 005
100	 FI	 DOC	 BKPF	 BELNR	 	 	 	 003
100	 FI	 DOC	 BKPF	 BKTXT	 	 	 	 016
100	 FI	 DOC	 BKPF	 BLART	 	 	 	 005
100	 FI	 DOC	 BKPF	 BLDAT	 	 	 	 007
100	 FI	 DOC	 BKPF	 BSTAT	 	 	 	 018
100	 FI	 DOC	 BKPF	 BUDAT	 	 	 	 008
100	 FI	 DOC	 BKPF	 BUKRS	 	 	 	 002
100	 FI	 DOC	 BKPF	 CPUDT	 	 	 	 010
100	 FI	 DOC	 BKPF	 DBBLG	 	 	 	 013
100	 FI	 DOC	 BKPF	 GJAHR	 	 	 	 004
100	 FI	 DOC	 BKPF	 GLVOR	 	 	 	 019
100	 FI	 DOC	 BKPF	 HWAE2	 	 	 	 021
100	 FI	 DOC	 BKPF	 HWAE3	 	 	 	 022
100	 FI	 DOC	 BKPF	 HWAER	 	 	 	 020
100	 FI	 DOC	 BKPF	 MANDT	 	 	 	 001
100	 FI	 DOC	 BKPF	 MONAT	 	 	 	 009
100	 FI	 DOC	 BKPF	 STBLG	 	 	 	 014
100	 FI	 DOC	 BKPF	 STGRD	 	 	 	 025
100	 FI	 DOC	 BKPF	 STJAH	 	 	 	 015
100	 FI	 DOC	 BKPF	 TCODE	 	 	 	 006
100	 FI	 DOC	 BKPF	 USNAM	 	 	 	 011
100	 FI	 DOC	 BKPF	 WAERS	 	 	 	 017
100	 FI	 DOC	 BKPF	 XBLNR	 	 	 	 012
100	 FI	 DOC	 BKPF	 XSNET	 	 	 	 024
100	 FI	 DOC	 BKPF	 XSTOV	 	 	 	 023
100	 FI	 GL MSTR	 SKA1	 GVTYP	 	 	 	 005
100	 FI	 GL MSTR	 SKA1	 KTOKS	 	 	 	 006
100	 FI	 GL MSTR	 SKA1	 KTOPL	 	 	 	 002
100	 FI	 GL MSTR	 SKA1	 MANDT	 	 	 	 001
100	 FI	 GL MSTR	 SKA1	 SAKNR	 	 	 	 003
100	 FI	 GL MSTR	 SKA1	 XBILK	 	 	 	 004
100	 FI	 GL MSTR	 SKA1	 XLOEV	 	 	 	 007
100	 FI	 GL MSTR	 SKA1	 XSPEB	 	 	 	 008
100	 FI	 GL MSTR	 SKAT	 TXT20	 	 	 	 001
100	 MM	 GOODS_MVMNT	 MKPF	 BLART	 	 	 	 010
100	 MM	 GOODS_MVMNT	 MKPF	 MJAHR	 	 X	 	 050
100	 MM	 GOODS_MVMNT	 MKPF	 TCODE2	 	 	 	 040
100	 MM	 GOODS_MVMNT	 MKPF	 VGART	 	 	 	 020
100	 MM	 GOODS_MVMNT	 MSEG	 BEMOT	 	 	 	 070
100	 MM	 GOODS_MVMNT	 MSEG	 BWART	 	 	 	 060
100	 MM	 GOODS_MVMNT	 T003T	 LTEXT	 	 	 	 011
100	 MM	 GOODS_MVMNT	 T003T	 SPRAS	 E	 X	 	 090
100	 MM	 GOODS_MVMNT	 T158W	 LTEXT	 	 	 	 030
100	 MM	 GOODS_MVMNT	 T158W	 SPRAS	 E	 X	 	 080
100	 MM	 INBND_DEL	 LIKP	 LFART	 	 	 	 003
100	 MM	 INBND_DEL	 LIKP	 TERNR	 	 	 	 004
100	 MM	 INBND_DEL	 LIKP	 VKORG	 	 	 	 001
100	 MM	 INBND_DEL	 LIPS	 WERKS	 	 	 	 002
100	 MM	 INVOICE VERIFICATION	 RBKP	 BLART	 	 	 	 001
100	 MM	 INVOICE VERIFICATION	 RBKP	 BUKRS	 	 	 	 002
100	 MM	 INVOICE VERIFICATION	 RBKP	 ZTERM	 	 	 	 003
100	 MM	 MATERIAL_MASTER	 MARA	 KOSCH	 	 	 	 027
100	 MM	 MATERIAL_MASTER	 MARA	 MATKL	 	 	 	 130
100	 MM	 MATERIAL_MASTER	 MARA	 MTART	 	 	 	 020
100	 MM	 MATERIAL_MASTER	 MARA	 PRDHA	 	 	 	 025
100	 MM	 MATERIAL_MASTER	 MARA	 XCHPF	 	 	 	 060
100	 MM	 MATERIAL_MASTER	 MARC	 BESKZ	 	 	 	 030
100	 MM	 MATERIAL_MASTER	 MARC	 DISGR	 	 	 	 090
100	 MM	 MATERIAL_MASTER	 MARC	 DISMM	 	 	 	 070
100	 MM	 MATERIAL_MASTER	 MARC	 DISPO	 	 	 	 080
100	 MM	 MATERIAL_MASTER	 MARC	 KORDB	 	 	 	 105
100	 MM	 MATERIAL_MASTER	 MARC	 MTVFP	 	 	 	 055
100	 MM	 MATERIAL_MASTER	 MARC	 SFEPR	 	 	 	 050
100	 MM	 MATERIAL_MASTER	 MARC	 SOBSL	 	 	 	 040
100	 MM	 MATERIAL_MASTER	 MARC	 SSQSS	 	 	 	 100
100	 MM	 MATERIAL_MASTER	 MARC	 STRGR	 	 	 	 110
100	 MM	 MATERIAL_MASTER	 MARC	 WERKS	 	 	 	 010
100	 MM	 MATERIAL_MASTER	 MBEW	 BKLAS	 	 	 	 120
100	 MM	 PHY_INV_COUNT	 IKPF	 VGART	 	 	 	 002
100	 MM	 PHY_INV_COUNT	 IKPF	 WERKS	 	 	 	 001
100	 MM	 PHY_INV_COUNT	 ISEG	 BSTAR	 	 	 	 004
100	 MM	 PHY_INV_COUNT	 ISEG	 SOBKZ	 	 	 	 003
100	 MM	 PURCHASE	 EKKO	 BSART	 	 	 	 003
100	 MM	 PURCHASE	 EKKO	 BSTYP	 	 	 	 002
100	 MM	 PURCHASE	 EKKO	 FRGSX	 	 	 	 005
100	 MM	 PURCHASE	 EKPO	 BSTAE	 	 	 	 011
100	 MM	 PURCHASE	 EKPO	 INCO1	 	 	 	 009
100	 MM	 PURCHASE	 EKPO	 INCO2	 	 	 	 010
100	 MM	 PURCHASE	 EKPO	 KNTTP	 	 	 	 004
100	 MM	 PURCHASE	 EKPO	 PSTYP	 	 	 	 006
100	 MM	 PURCHASE	 EKPO	 WERKS	 	 	 	 001
100	 MM	 PURCHASE	 T163Y	 PTEXT	 	 	 	 007
100	 MM	 PURCHASE	 T163Y	 SPRAS	 E	 	 	 008
100	 MM	 PURCHASE_REQISITION	 EBAN	 BADAT	 	 	 X	 007
100	 MM	 PURCHASE_REQISITION	 EBAN	 BSART	 	 	 	 001
100	 MM	 PURCHASE_REQISITION	 EBAN	 EKORG	 	 	 	 006
100	 MM	 PURCHASE_REQISITION	 EBAN	 FRGZU	 	 	 	 004
100	 MM	 PURCHASE_REQISITION	 EBAN	 KNTTP	 	 	 	 003
